[18.1.2021 | 12:45:41] [AdamPester]: <@!774767018175496204> 

[18.1.2021 | 12:45:51] [AdamPester]: !help 

[18.1.2021 | 12:45:56] [AdamPester]: *help 

[18.1.2021 | 12:45:58] [AdamPester]: &help 

[18.1.2021 | 12:46:5] [AdamPester]: ^help 

[18.1.2021 | 12:46:10] [AdamPester]: $help 

[18.1.2021 | 12:46:17] [AdamPester]: !pls porn 

[18.1.2021 | 12:46:20] [AdamPester]: !Porn 

[18.1.2021 | 12:46:31] [AdamPester]: !help NSFW 

[18.1.2021 | 12:46:42] [AdamPester]: !rule-34 

[18.1.2021 | 12:46:57] [AdamPester]: !rule-34 

[18.1.2021 | 12:47:5] [AdamPester]: !penis 

[18.1.2021 | 12:47:18] [AdamPester]: !butts 

[18.1.2021 | 12:47:26] [AdamPester]: !nsfw 

[18.1.2021 | 12:47:31] [AdamPester]: !NSFW 

[18.1.2021 | 12:47:37] [AdamPester]: <@!292953664492929025> 

[18.1.2021 | 12:47:41] [AdamPester]: !help 

