[7.1.2021 | 17:9:45] [MateoMistrz]: No wsm xd 

[7.1.2021 | 17:10:12] [Nałogowy]: NOOO 

[7.1.2021 | 17:12:2] [MateoMistrz]: Jutro film 

[7.1.2021 | 17:12:9] [MateoMistrz]: Pojutrze może tez 

[7.1.2021 | 17:12:15] [MateoMistrz]: Jak wyrobię z montazem 

[7.1.2021 | 17:12:24] [MateoMistrz]: Chyba że ktoś będzie mi  montowlal 

[7.1.2021 | 22:13:22] [𝓓𝓪𝓻𝓴   𝓛𝓮𝓸𝓷   𝓛𝓸𝓻𝓭]: Czm <@587165444436393994> ma degrad? 

[7.1.2021 | 22:13:53] [Nałogowy]: BO wypowiadałem, że zdania na temat serwera. 

[7.1.2021 | 22:14:17] [Nałogowy]: Czyli mamy dowód, że na tym serwerze nie ma wolności słowa. 

[7.1.2021 | 22:14:48] [𝓓𝓪𝓻𝓴   𝓛𝓮𝓸𝓷   𝓛𝓸𝓻𝓭]: A powiedz co powiedziałeś? 

[7.1.2021 | 22:15:58] [Nałogowy]: Masz na górze całą konwersacje możesz zobaczyć ona nie jest długa ale w skrucie, że serwer umarł, że <@!506534981649039360> Ma kanał w dupie itd. Mówiłem fakty, za które zostałem ukarany. 

[7.1.2021 | 22:18:7] [𝓓𝓪𝓻𝓴   𝓛𝓮𝓸𝓷   𝓛𝓸𝓻𝓭]: Serwer umiera, +1.
 <@506534981649039360> ma wyjebane, a oto zdania nie mam. 

[7.1.2021 | 22:19:6] [Nałogowy]: No nie serwer umiera, tylko serwer umarł. 

[7.1.2021 | 22:19:26] [𝓓𝓪𝓻𝓴   𝓛𝓮𝓸𝓷   𝓛𝓸𝓻𝓭]: -_- 

[7.1.2021 | 22:19:47] [Nałogowy]: I za to ban 

[7.1.2021 | 22:20:58] [𝓓𝓪𝓻𝓴   𝓛𝓮𝓸𝓷   𝓛𝓸𝓻𝓭]: A dołączysz do mojego serwera? 

[7.1.2021 | 22:21:26] [Nałogowy]: nei 

[7.1.2021 | 22:21:28] [Nałogowy]: Nie 

[7.1.2021 | 22:21:35] [Nałogowy]: Mam za dużo serwerów na liście 

[7.1.2021 | 22:21:35] [𝓓𝓪𝓻𝓴   𝓛𝓮𝓸𝓷   𝓛𝓸𝓻𝓭]: Jn 

