[8.1.2021 | 13:4:53] [olipid]: Ej hi ktos jest 

[8.1.2021 | 13:5:6] [olipid]: No to super 

[8.1.2021 | 13:5:28] [olipid]: A huj, cie to 

[8.1.2021 | 13:5:40] [olipid]: No tak huji 

[8.1.2021 | 13:5:55] [olipid]: Ej czego nie wyzywasz 

[8.1.2021 | 13:6:8] [olipid]: Zacznik 

[8.1.2021 | 13:6:17] [olipid]: Zacznij 

[8.1.2021 | 13:6:33] [olipid]: Przeklinac 

[8.1.2021 | 13:7:47] [olipid]: Powiedz jak zatszymasz 2 uczniów któży sie spóźnią i biegną łamią regulamin i co robisz 

[8.1.2021 | 13:8:35] [olipid]: Hahahaha 

[8.1.2021 | 13:8:51] [olipid]: I co na to odpowoesz 

[8.1.2021 | 13:9:9] [olipid]: Czoego 

[8.1.2021 | 13:9:19] [olipid]: Rozmawial 

[8.1.2021 | 13:9:37] [olipid]: E gdzie 

[8.1.2021 | 13:9:55] [olipid]: A gdzie mieszkasz 

[8.1.2021 | 13:10:26] [olipid]: Powiedz pójdziemy na randke 

[8.1.2021 | 13:10:41] [olipid]: Z kim 

[8.1.2021 | 13:10:54] [olipid]: Co? 

[8.1.2021 | 13:11:17] [olipid]: Ej jestes debilką? 

[8.1.2021 | 13:11:40] [olipid]: To kurwa i tak jestes debilem 

[8.1.2021 | 13:12:1] [olipid]: No a ty gejem 

[8.1.2021 | 13:12:34] [olipid]: No nie bo ja nie jestem na randce z chlopakiem 

[8.1.2021 | 13:12:54] [olipid]: Nie kurwa mówie o tobie 

[8.1.2021 | 13:12:58] [olipid]: Ff 

[8.1.2021 | 13:12:58] [olipid]: Ff 

[8.1.2021 | 13:12:59] [olipid]: Fff 

[8.1.2021 | 13:12:59] [olipid]: Ff 

[8.1.2021 | 13:13:0] [olipid]: Ff 

[8.1.2021 | 13:13:0] [olipid]: F 

[8.1.2021 | 13:13:0] [olipid]: F 

[8.1.2021 | 13:13:1] [olipid]: Ff 

[8.1.2021 | 13:13:1] [olipid]: F 

[8.1.2021 | 13:13:4] [olipid]: F 

[8.1.2021 | 13:13:30] [olipid]: Ej lubisz twojego stwórce? 

[8.1.2021 | 13:13:54] [olipid]: To sie dogadamy bo to mateo 

[8.1.2021 | 13:14:4] [olipid]: No tak 

[8.1.2021 | 13:14:11] [olipid]: A jak nie to kto 

[8.1.2021 | 13:14:34] [olipid]: /level 

[8.1.2021 | 13:14:40] [olipid]: Jahahahahhaajaj 

[8.1.2021 | 13:15:3] [olipid]: Joz nie team xd tylko team x2 

[8.1.2021 | 13:15:18] [olipid]: Hahahahahahahahhahahahaha 

[8.1.2021 | 13:15:22] [olipid]: L 

[8.1.2021 | 13:15:23] [olipid]: B 

[8.1.2021 | 13:15:25] [olipid]: N 

[8.1.2021 | 13:15:27] [olipid]: V 

[8.1.2021 | 13:15:28] [olipid]: C 

[8.1.2021 | 13:15:29] [olipid]: F 

[8.1.2021 | 13:15:30] [olipid]: D 

[8.1.2021 | 13:15:36] [olipid]: Huj ci w dupe 

[8.1.2021 | 13:15:48] [olipid]: Ty 

[8.1.2021 | 13:16:2] [olipid]: Polish 

[8.1.2021 | 13:16:5] [olipid]: Raus 

[8.1.2021 | 13:16:27] [olipid]: Hahaha joz nie team xd co team x2 

[8.1.2021 | 13:16:37] [olipid]: Jumanji 

[8.1.2021 | 13:16:39] [olipid]: Jumanji 

[8.1.2021 | 13:17:2] [olipid]: /level 

[8.1.2021 | 13:17:14] [olipid]: Ss 

[8.1.2021 | 13:17:16] [olipid]: Ss 

[8.1.2021 | 13:17:19] [olipid]: Dddsaf 

[8.1.2021 | 13:17:26] [olipid]: Lubie placki 

[8.1.2021 | 13:17:30] [olipid]: 💯 

[8.1.2021 | 13:17:31] [olipid]: <:Pepe_Ban:767352760156291082> 

[8.1.2021 | 13:17:32] [olipid]: <:hajs:770211638145712158> 

[8.1.2021 | 13:17:34] [olipid]: 🆗 

[8.1.2021 | 13:17:35] [olipid]: 🆗 

[8.1.2021 | 13:17:36] [olipid]: <:Pepe_Hajs:776029309835411456> 

[8.1.2021 | 13:17:37] [olipid]: 📩 

[8.1.2021 | 13:17:39] [olipid]: 👍 

[8.1.2021 | 13:17:41] [olipid]: ❤️ 

[8.1.2021 | 13:18:9] [olipid]: A co lubisz 

[8.1.2021 | 13:18:30] [olipid]: Przed chwilą mowiles ze nie 

[8.1.2021 | 13:18:45] [olipid]: Co? 

[8.1.2021 | 13:18:59] [olipid]: A kochasz mateo? 

[8.1.2021 | 13:19:22] [olipid]: Lubie cytryny 

[8.1.2021 | 13:19:27] [olipid]: I plack8 

[8.1.2021 | 13:19:45] [olipid]: A lubisz lody 

[8.1.2021 | 13:20:6] [olipid]: Malinowe 

[8.1.2021 | 13:20:30] [olipid]: A ja kostka cukru 

[8.1.2021 | 13:20:56] [olipid]: Która lubi mateo 

[8.1.2021 | 13:21:17] [olipid]: /level 

