[8.1.2021 | 23:30:42] [Trash]: <:20_zloty_poprosze:774360071022968882> 

[8.1.2021 | 23:30:44] [Trash]: <:A_chcesz_WPIERDOL:738796320873250856> 

[8.1.2021 | 23:30:45] [Trash]: <:AhA:738795041950007378> 

[8.1.2021 | 23:30:46] [Trash]: <:AHAHAHAHAHAHAHAHCUDOWNIE:763309136061923338> 

[8.1.2021 | 23:30:47] [Trash]: <:co:769161222925975573> 

[8.1.2021 | 23:30:49] [Trash]: <:CoKurwa:760931226009337856> 

[8.1.2021 | 23:30:50] [Trash]: <:debil:769159546132103219> 

[8.1.2021 | 23:30:51] [Trash]: <:Eeeokej:760930902514597899> 

[8.1.2021 | 23:30:52] [Trash]: <:Fak:760930946580217906> 

[8.1.2021 | 23:30:54] [Trash]: <:GrOzIsZmI:769160274811813898> 

[8.1.2021 | 23:30:55] [Trash]: <:haha_pierwsza:769156589428146207> 

[8.1.2021 | 23:30:59] [Trash]: <:hahahhahahahahahah:769161083369291797> 

[8.1.2021 | 23:31:1] [Trash]: <:Historia_Jest_Pieknaaa:769159386492567589> 

[8.1.2021 | 23:31:2] [Trash]: <:Hm:760930867417448448> 

[8.1.2021 | 23:31:3] [Trash]: <:Hmm:738796014433206315> 

[8.1.2021 | 23:31:4] [Trash]: <:Huh:738795554129182720> 

[8.1.2021 | 23:31:6] [Trash]: <:Huh:760930779617296384> 

[8.1.2021 | 23:31:8] [Trash]: <:Jaaa_Ci_Dam:738795672039456800> 

[8.1.2021 | 23:31:10] [Trash]: <:JESTEM_NAJMONDRZEJSZA_NA_SWIECIE:769160060562702357> 

[8.1.2021 | 23:31:13] [Trash]: <:KTO_CHCE_KETCHUP:769157543078658069> 

[8.1.2021 | 23:31:15] [Trash]: <:KURWAAAAAAAAAAA:760931965372858378> 

[8.1.2021 | 23:31:17] [Trash]: <:Ma_Koska_Morda_Pikna_Jest:769157726281400320> 

[8.1.2021 | 23:31:18] [Trash]: <:Mahiruu_UwU:738795377754374368> 

[8.1.2021 | 23:31:22] [Trash]: <:Octavia:795091553277444096> 

[8.1.2021 | 23:31:25] [Trash]: <:To_sie_zle_skonczy:769158903858462730> 

[8.1.2021 | 23:31:28] [Trash]: <:Zabij_Sie:738796213201010748> 

