[7.1.2021 | 18:16:4] [Kara Chan]: .user <@537553662180982785> 

[7.1.2021 | 18:16:16] [Kara Chan]: Hnmnhb 

[7.1.2021 | 18:16:26] [Kara Chan]: Pft 

[7.1.2021 | 18:20:38] [Kara Chan]: Pfft 

[7.1.2021 | 18:20:46] [Kara Chan]: Teraz ogarnelam xd 

[7.1.2021 | 18:20:53] [Kara Chan]: !user <@537553662180982785> 

[7.1.2021 | 18:21:3] [Kara Chan]: !<@498933764500619266> 

[7.1.2021 | 18:21:9] [Kara Chan]: !user <@498933764500619266> 

[7.1.2021 | 18:21:21] [Kara Chan]: Hmnhh 

[13.1.2021 | 14:57:5] [Yukizome Chiiiisa]: !rank 

[14.1.2021 | 18:33:3] [Yukizome Chiiiisa]: !user <@604020018400854056> 

[14.1.2021 | 18:33:25] [Yukizome Chiiiisa]: !user <@498933764500619266> 

