[7.1.2021 | 18:17:47] [Kara Chan]: L.rule34 Junko Enoshima 

[7.1.2021 | 18:17:54] [Kara Chan]: ....... 

[7.1.2021 | 18:17:58] [Kara Chan]: $m 

[7.1.2021 | 18:18:3] [Kara Chan]: U fuck zła komenda- 

[7.1.2021 | 18:18:10] [Kara Chan]: Tssgg 

[7.1.2021 | 18:18:18] [Kara Chan]: Ghegheghe 

[8.1.2021 | 23:29:41] [Trash]: L.rule34 Sayaka Maizono 

[8.1.2021 | 23:29:53] [Trash]: L.rule34 Kyoko Kirigiri 

[8.1.2021 | 23:30:2] [Trash]: L.rule34 Kokichi Ouma 

[8.1.2021 | 23:30:14] [Trash]: L.rule34 Kaede Akamatsu 

[12.1.2021 | 21:1:0] [Roczym]: Musisz wpisać akamatsu kaede 

[12.1.2021 | 21:1:43] [Roczym]: L.rule34 Akamatsu_Kaede 

[12.1.2021 | 21:8:37] [AngelDust]: L.rule34 Kirigiri Kyoko 

[12.1.2021 | 21:8:41] [AngelDust]: Aha 

[12.1.2021 | 21:8:44] [AngelDust]: Kurwa 

[12.1.2021 | 21:9:3] [AngelDust]: O nie... 

[12.1.2021 | 21:9:15] [AngelDust]: Za 3 sekundy to usunę jak to wpiszę...... 

[12.1.2021 | 21:9:24] [AngelDust]: L.rule34 Vaggie 

[12.1.2021 | 21:9:35] [AngelDust]: KHEKHEKSGD 

[12.1.2021 | 21:9:53] [AngelDust]: <:wygralem_zycie:769156380761915402> <:co:769161222925975573> <:placze:774772085758230549> 

[12.1.2021 | 21:10:56] [AngelDust]: L.rule34 Akamatsu Kaede 

[12.1.2021 | 21:11:12] [AngelDust]: L.rule34 Sonia Nevermind 

[12.1.2021 | 21:11:24] [AngelDust]: L.rule34 Chiaki Nanami 

[12.1.2021 | 21:11:32] [AngelDust]: Czekaj co 

[12.1.2021 | 21:11:37] [AngelDust]: Dobra nie 

[12.1.2021 | 21:11:38] [AngelDust]: Pf 

[12.1.2021 | 21:12:0] [AngelDust]: Dobra zamykam oczy... 

[12.1.2021 | 21:12:8] [AngelDust]: L.rule34 Alastor 

[12.1.2021 | 21:12:21] [AngelDust]: Uf nie widziałam 

[12.1.2021 | 21:12:23] [AngelDust]: I dobrze 

[12.1.2021 | 21:12:34] [AngelDust]: Z 1 husbando by przeszedł na... 

[12.1.2021 | 21:12:47] [AngelDust]: BYŁBY NAJGORSZĄ POSTACIĄ BLE 

[12.1.2021 | 21:13:10] [AngelDust]: L.rule34 Nanami Chiaki 

