[27.1.2021 | 21:24:56] [Last Rose Sneep]: **Moxie**
*wchodzi, powolnym krokiem idzie do baru, siada na krześle barowym i po chwili namysłu prosi o jedną whiskey z lodem* 

[27.1.2021 | 21:26:49] [Grylled]: /Ummm nie żeby coś ale zrób sobie postać na <#787780275483836426> 

[27.1.2021 | 21:31:39] [Grylled]: <@600040141276577845> 

[27.1.2021 | 21:31:55] [Last Rose Sneep]: //czytam bota bo nie znam 

[27.1.2021 | 21:34:40] [Last Rose Sneep]: //już 

[27.1.2021 | 21:40:58] [Last Rose Sneep]: O:wchodzi, powolnym krokiem idzie do baru, siada na krześle barowym i po chwili namysłu prosi o jedną whiskey z lodem 

[27.1.2021 | 21:42:28] [Last Rose Sneep]: <@630520180211974204> 

[27.1.2021 | 22:20:51] [Grylled]: S!Weszła tu łaknąc alkoholu. Chciała "nawodnić struny" albo "Rozjaśnić umysĺ" jak to przyszło jej mawiać. Ale teraz nie miała komu więc po prostu zajęła miejsce przed barkiem i zamówiła samą szkocką 

[27.1.2021 | 22:23:21] [Grylled]: <@600040141276577845> 

[27.1.2021 | 23:4:6] [Last Rose Sneep]: O: Patrzy na dziewczyna, gdyż pierwszy raz widzi płeć żeńską zamawiająca coś mocniejszego niż drink papy smerfa, jednak ignoruję sytucję, gdyż jest tu tylko po to, aby rozmyślać o tym co może zaoferować mu przyszłość 

[27.1.2021 | 23:11:4] [Last Rose Sneep]: O: Jednak po chwili rozmyślania zrozumiał śe jaki bohater musi komunikować się z ludźmi, więc rozmyśla plan rozmowy wstaje i niepewnym krokiem podchodzi do kobiety i mówi
-Hej, przykułaś moją uwagę, jak masz na imię? 

[27.1.2021 | 23:30:26] [Grylled]: S!-Mów mi Rusałka. Dla swoich jestem Sasza.-Odchyliła głowę od swojego trunku i spojrzała na chłopaka.-A ty? K-Pop raper?-Powiedziała ironicznie po czym poklepała siedzenie obok.-Siadaj i powiedz co masz za sprawę do mnie. 

[28.1.2021 | 15:50:10] [Grylled]: S!-Czyli pewnie wierzysz że przygody zaczynają się w barach i zleca je jakiś stary czarodziej? Nie no dobra. Teraz poważnie. Co naprawdę cię tu zaciągnęło.-Nie ukrywała że zaciekawiła ją obecność takiego chłopaczka w takim miejscu. 

[28.1.2021 | 15:50:13] [Grylled]: <@600040141276577845> 

[28.1.2021 | 16:23:23] [Last Rose Sneep]: O: -to tak nie jest? A przyciągnęły mnie tu nudy, bo widzisz. Mam mażenie ale nie wiem jak je zrealizować, a czego ty tu jesteś? 

[28.1.2021 | 16:24:10] [Last Rose Sneep]: <@630520180211974204> 

[28.1.2021 | 16:26:42] [Last Rose Sneep]: //jak mnie pingniesz to już od razu adpisze 

[28.1.2021 | 17:3:25] [Grylled]: S!-Opijam nadmiar przygód. Straty i zyski też tak okazyjnie.-Powiedziała po chwili zerując swój trunek po czym gestem pokazała barmanowi by zalał nową kolejkę 

[28.1.2021 | 17:3:31] [Grylled]: /a spoko 

[28.1.2021 | 17:3:34] [Grylled]: <@600040141276577845> 

[28.1.2021 | 17:5:8] [Last Rose Sneep]: O: -jakie konkretniej przygody
*patrzy na dziewczynę z ciekawością* 

[28.1.2021 | 17:8:42] [Grylled]: S!-W trzy tygodnie z moim udziałem spłonęła część autostrady...byłam porwana...walczyłam z trupami i rozwaliłam niedaleko kościół.-Opowiadała spokojnie i z małymi ogrótkami nie chcąc zdradzać szczegiłów 

[28.1.2021 | 17:10:34] [Last Rose Sneep]: O: - może zabrzmie jak psychopata i idiota, bo jestem chudziną, ale zazdrosze wam, chciałbym walczyć dla szczęścia innych. Albo bardziej ci, bo ty nie zginełaś 

[28.1.2021 | 17:15:25] [Last Rose Sneep]: O: -nie znam szczegółów ale walczyliście z truposzami a przez jednego z nich ktoś mógł zginąć więc nie ważne o co walczyliście zrobiliście też dobrze 

