[28.1.2021 | 11:34:28] [Shibe]: <@&801028235743854629> - Właściciel serwera <@689853240002740338> 

[28.1.2021 | 11:34:49] [Shibe]: <@&801028235743854628> - Zaufany/ awansami- <@722715695884009482> 

[28.1.2021 | 11:35:4] [Shibe]: <@&801028235743854627> - Aktywność- <@!689813998329135112> 

[28.1.2021 | 11:35:30] [Shibe]: <@&801028235743854626> - zaufany/aktywność- 

[28.1.2021 | 11:35:45] [Shibe]: <@&801028235743854625> - aktywność/ zaufany- <@482832017311137793> 

[28.1.2021 | 11:36:3] [Shibe]: <@&803951029246099506>- Próbuje na moda 

[28.1.2021 | 11:36:29] [Shibe]: <@&801028235743854623> - Aktywność/zaufanie- 

[28.1.2021 | 11:38:24] [Shibe]: Menager ( ***Soon***) 

[28.1.2021 | 11:38:44] [Shibe]: <@&801028235721703453> - Pomoc aktywna 24/7 

