[14.1.2021 | 16:3:51] [Cichy]: Osiągnęliśmy cel użytkowników na serwerze - 670 użytkowników. Dziękuję wszystkim, którzy przyczynili się do rozwoju naszej pracy. Z tej okazji, zorganizowałem konkurs dla Was. 

[14.1.2021 | 16:4:5] [Cichy]: <@&755766573612138497> 

[15.1.2021 | 16:12:42] [Cichy]: /give-money <@!735382149989138482> 5000 

[15.1.2021 | 16:12:46] [Cichy]: .give-money <@!735382149989138482> 5000 

[15.1.2021 | 16:13:0] [Cichy]: .add-money <@!735382149989138482> 5000 

[15.1.2021 | 16:13:26] [Cichy]: .add-money <@!703181803589992468> 5000 

[15.1.2021 | 16:13:33] [Cichy]: .add-money <@!748566628953751552> 5000 

[17.1.2021 | 22:0:23] [Cichy]: <@&755766573612138497> 

[17.1.2021 | 22:1:39] [Cichy]: .add-money <@!598536600493752320> 2000 

[17.1.2021 | 22:1:44] [Cichy]: .add-money <@!654752780824870933> 2000 

[17.1.2021 | 22:1:50] [Cichy]: .add-money <@!634450543179333643> 2000 

[17.1.2021 | 22:1:57] [Cichy]: .add-money <@!422504061959667725> 2000 

[28.1.2021 | 13:58:27] [Invejosa]: <@&755766573612138497> 

[28.1.2021 | 19:31:20] [Invejosa]: Przypominam o konkursie - <@&755766573612138497> 

