[12.1.2021 | 13:23:7] [Cichy]: gut 

[12.1.2021 | 13:23:15] [Cichy]: 29 

[12.1.2021 | 13:23:30] [Cichy]: Jestem człowiekiem. 

[12.1.2021 | 13:23:42] [Cichy]: Jestem kilkuletnim programistą. 

[12.1.2021 | 13:23:52] [Cichy]: Discord 

[12.1.2021 | 13:24:2] [Cichy]: nie 

[12.1.2021 | 13:28:21] [Cichy]: https://cdn.discordapp.com/attachments/793553378802008133/796678931080151050/image.png 

[12.1.2021 | 13:28:30] [Cichy]: https://cdn.discordapp.com/attachments/798528003595829278/798528817307189258/image.png 

[12.1.2021 | 14:4:2] [Cichy]: https://randomfox.ca/images/48.jpg 

[12.1.2021 | 14:4:10] [Cichy]: https://randomfox.ca/images/51.jpg 

[12.1.2021 | 14:4:15] [Cichy]: c/at 

[12.1.2021 | 14:4:24] [Cichy]: https://cdn.discordapp.com/attachments/798528003595829278/798537852153364480/image.png 

[12.1.2021 | 14:6:16] [Cichy]: https://randomfox.ca/images/51.jpg 

[12.1.2021 | 14:17:38] [Cichy]: /123/123/123 

[12.1.2021 | 14:19:53] [Cichy]: /fox 

[12.1.2021 | 14:35:17] [Cichy]: \<a:Moneta:787803629398655017> 

[12.1.2021 | 14:35:41] [Cichy]: \<:Money:797453898372612096> 

[12.1.2021 | 14:36:17] [Cichy]: /.help 

[12.1.2021 | 14:36:56] [Cichy]: /kryptowaluty 

[12.1.2021 | 14:42:43] [Cichy]: <a:Uzytkownicze:787792321885241414> 

[12.1.2021 | 14:45:10] [Cichy]: 💜 

[12.1.2021 | 15:27:44] [Cichy]: \<a:Check:788816525104381952> 

[12.1.2021 | 15:27:47] [Cichy]: <a:Check:788816525104381952> 

[12.1.2021 | 15:28:48] [Cichy]: \<:Uzytkownik:788459505947902073> 

[12.1.2021 | 15:29:9] [Cichy]: \<a:URL:789168010958209084> 

[12.1.2021 | 15:32:49] [Cichy]: /flip[ 

