[14.1.2021 | 23:17:41] [rakiet]: .p https://www.youtube.com/watch?v=Muiqi10Fh9s 

[14.1.2021 | 23:25:29] [rakiet]: .p https://www.youtube.com/watch?v=Muiqi10Fh9s 

[15.1.2021 | 23:49:59] [R)🏴]: .p https://www.youtube.com/watch?v=GaeXlnNf2R8 

[16.1.2021 | 0:4:23] [R)🏴]: .p https://www.youtube.com/watch?v=jr66A4NDuYw 

[16.1.2021 | 0:8:34] [R)🏴]: .p https://www.youtube.com/watch?v=v44TtnNomak 

[16.1.2021 | 14:25:50] [🥖BAGIETA🥖]: .p https://www.youtube.com/watch?v=zPdO06qdcjA 

[16.1.2021 | 18:28:31] [LL Soydere]: -play https://www.youtube.com/watch?v=D0q0QeQbw9U&t=28s 

[16.1.2021 | 18:28:45] [LL Soydere]: .p https://www.youtube.com/watch?v=D0q0QeQbw9U&t=28s 

[16.1.2021 | 18:29:45] [R)🏴]: .skip 

[16.1.2021 | 18:29:54] [R)🏴]: .s 

[16.1.2021 | 18:31:49] [LL Soydere]: ale mnie impreza ominęła na zatoce <@!557574908192751633> <:Pogchamp:776529888487276574> 

[16.1.2021 | 22:55:48] [LL Soydere]: .p https://www.youtube.com/watch?v=D0q0QeQbw9U 

[16.1.2021 | 22:56:3] [LL Soydere]: .s 

[17.1.2021 | 21:55:16] [R)🏴]: .p https://www.youtube.com/watch?v=k1-TrAvp_xs 

[17.1.2021 | 22:4:56] [R)🏴]: .p https://www.youtube.com/watch?v=QjXJrUOHwlo 

[17.1.2021 | 22:6:58] [R)🏴]: .p https://www.youtube.com/watch?v=3kjEvg_ZkgI 

[17.1.2021 | 22:25:48] [Thor2137]: -p https://www.youtube.com/watch?v=K2NOh2BzY1g 

[17.1.2021 | 22:26:25] [Wojtek]: .p https://www.youtube.com/watch?v=BvdPsPVE-1M 

[17.1.2021 | 22:28:20] [Wojtek]: .s 

