[25.1.2021 | 11:28:55] [MaryKateAnn1]: .work 

[25.1.2021 | 11:29:3] [MaryKateAnn1]: .dep all 

[25.1.2021 | 11:29:7] [ŁC_]: .work 

[25.1.2021 | 11:29:15] [ŁC_]: .collect-income 

[25.1.2021 | 11:29:24] [St3fan_K]: .collect-income 

[25.1.2021 | 11:29:27] [MaryKateAnn1]: .collect-income 

[25.1.2021 | 11:29:28] [ŁC_]: .bal <@!715496461781041154> 

[25.1.2021 | 11:29:36] [ŁC_]: .with all 

[25.1.2021 | 11:29:39] [ŁC_]: .dep all 

[25.1.2021 | 11:29:42] [ŁC_]: .store 

[25.1.2021 | 11:29:44] [MaryKateAnn1]: .with all 

[25.1.2021 | 11:29:54] [ŁC_]: .pay <@!715496461781041154> 3000 

[25.1.2021 | 11:29:58] [St3fan_K]: .wok 

[25.1.2021 | 11:30:0] [ŁC_]: .with all 

[25.1.2021 | 11:30:4] [St3fan_K]: .work 

[25.1.2021 | 11:30:7] [ŁC_]: .pay <@!715496461781041154> 4000 

[25.1.2021 | 11:30:8] [St3fan_K]: .crime 

[25.1.2021 | 11:30:9] [ŁC_]: .dep all 

[25.1.2021 | 11:30:15] [St3fan_K]: .slut 

[25.1.2021 | 11:30:16] [MaryKateAnn1]: .buy progamer 

[25.1.2021 | 11:30:18] [ŁC_]: .buy Pro Gamer 

[25.1.2021 | 11:30:25] [St3fan_K]: .with all 

[25.1.2021 | 11:30:36] [St3fan_K]: .dep all 

[25.1.2021 | 11:30:38] [MaryKateAnn1]: .buy Pro Gamer 

[25.1.2021 | 11:30:41] [St3fan_K]: .lb 

[25.1.2021 | 11:30:49] [ŁC_]: .pay <@!715496461781041154>  20 

[25.1.2021 | 11:30:54] [ŁC_]: .with all 

[25.1.2021 | 11:30:58] [ŁC_]: .pay <@!715496461781041154> 

[25.1.2021 | 11:31:4] [ŁC_]: .pay <@!715496461781041154>  200 

[25.1.2021 | 11:31:17] [MaryKateAnn1]: .buy Pro Gamer 

[25.1.2021 | 11:31:24] [ŁC_]: .use Pro Gamer 

[25.1.2021 | 11:31:31] [MaryKateAnn1]: .use Pro Gamer 

[25.1.2021 | 11:32:5] [ŁC_]: .store 

[25.1.2021 | 11:32:25] [MaryKateAnn1]: .money 

[25.1.2021 | 12:5:4] [Bartolinski]: .bal 

[25.1.2021 | 12:5:8] [Bartolinski]: .dep all 

[25.1.2021 | 12:5:11] [Bartolinski]: .bal 

[25.1.2021 | 12:5:31] [Bartolinski]: .buy-item  Bogacz 

[25.1.2021 | 12:5:40] [Bartolinski]: .withdraw 50000 

[25.1.2021 | 12:5:46] [Bartolinski]: .buy-item  Bogacz 

[25.1.2021 | 12:5:54] [Bartolinski]: .use Bogacz 

[25.1.2021 | 12:6:9] [Bartolinski]: ez 

[25.1.2021 | 20:54:56] [ŁC_]: =spacja 

[25.1.2021 | 21:9:41] [Bartolinski]: .collect-income 

[25.1.2021 | 21:9:55] [Bartolinski]: .work 

[25.1.2021 | 21:10:0] [Bartolinski]: .dep all 

[25.1.2021 | 21:10:5] [Bartolinski]: .bal 

[25.1.2021 | 23:5:3] [ŁC_]: .collect-income 

[25.1.2021 | 23:5:20] [ŁC_]: .work 

