[27.1.2021 | 13:3:51] [Bartek Kośla]: <@&802136769894023228>  składam skargę na was wszystkich 

[27.1.2021 | 13:4:9] [to ja, nie ty]: a ja na ciebie bo mi dom wysadziłeś 

[27.1.2021 | 13:4:39] [Bartek Kośla]: wysadziłem nie tylko twój dom ale wszystko 

[27.1.2021 | 13:5:30] [Bartek Kośla]: 666 

[27.1.2021 | 13:20:52] [Bartek Kośla]: eds 

[27.1.2021 | 13:20:52] [Bartek Kośla]: d 

[27.1.2021 | 13:20:53] [Bartek Kośla]: dd 

[27.1.2021 | 13:20:53] [Bartek Kośla]: dd 

[27.1.2021 | 13:20:54] [Bartek Kośla]: dd 

[27.1.2021 | 13:20:55] [Bartek Kośla]: d 

[27.1.2021 | 13:20:55] [Bartek Kośla]: dd 

[27.1.2021 | 13:20:56] [Bartek Kośla]: dd 

[27.1.2021 | 13:20:57] [Bartek Kośla]: d 

[27.1.2021 | 13:20:57] [Bartek Kośla]: dd 

[27.1.2021 | 13:21:2] [Bartek Kośla]: d 

[27.1.2021 | 13:21:2] [Bartek Kośla]: d 

[27.1.2021 | 13:21:2] [Bartek Kośla]: dd 

[27.1.2021 | 13:21:3] [Bartek Kośla]: dd 

[27.1.2021 | 13:30:57] [Shibe]: #clear 

