[18.1.2021 | 10:45:19] [SzymeQ]: dx 

[18.1.2021 | 10:45:20] [SzymeQ]: xd 

[18.1.2021 | 10:45:20] [SzymeQ]: dx 

[18.1.2021 | 10:45:20] [SzymeQ]: dx 

[18.1.2021 | 10:45:21] [SzymeQ]: dx 

[18.1.2021 | 10:45:21] [SzymeQ]: dx 

[18.1.2021 | 10:45:21] [SzymeQ]: xd 

[18.1.2021 | 10:45:22] [SzymeQ]: xd 

[18.1.2021 | 10:45:23] [SzymeQ]: dx 

[20.1.2021 | 18:25:57] [CpMiko]: !p https://youtu.be/AOWWcPxgcc8 

[20.1.2021 | 18:26:45] [CpMiko]: !s 

[20.1.2021 | 18:26:53] [CpMiko]: !p ha geiiiii 

[20.1.2021 | 18:27:57] [CpMiko]: !p https://youtu.be/AOWWcPxgcc8 

[20.1.2021 | 18:28:35] [CpMiko]: !s 

[20.1.2021 | 18:49:57] [CpMiko]: !p https://youtu.be/AOWWcPxgcc8 

[20.1.2021 | 18:50:1] [CpMiko]: !loop 

[20.1.2021 | 18:50:10] [CpMiko]: !s 

[20.1.2021 | 18:50:14] [CpMiko]: !p parabole tancza 

[20.1.2021 | 18:50:28] [CpMiko]: !p kwadratowe kółko 

[20.1.2021 | 18:50:30] [CpMiko]: !s 

[20.1.2021 | 18:50:34] [Bałwanek]: x
D 

[20.1.2021 | 18:50:34] [CpMiko]: !s 

[20.1.2021 | 18:50:39] [Bałwanek]: xDD 

[20.1.2021 | 18:51:1] [CpMiko]: !p https://youtu.be/IPKY4UbHr04 

[20.1.2021 | 18:52:11] [CpMiko]: !p https://youtu.be/IPKY4UbHr04 

[20.1.2021 | 18:52:12] [CpMiko]: !s 

[20.1.2021 | 18:52:16] [CpMiko]: !s 

[20.1.2021 | 18:52:27] [CpMiko]: !p https://youtu.be/AOWWcPxgcc8 

[20.1.2021 | 18:57:44] [CpMiko]: !p https://youtu.be/AOWWcPxgcc8 

[20.1.2021 | 18:57:59] [CpMiko]: !s 

[20.1.2021 | 18:58:6] [CpMiko]: !p https://youtu.be/AOWWcPxgcc8 

[20.1.2021 | 19:0:15] [CpMiko]: !p tak 

[20.1.2021 | 19:0:20] [CpMiko]: !s 

[22.1.2021 | 17:53:53] [CpMiko]: !p  https://youtu.be/AOWWcPxgcc8 

[22.1.2021 | 17:54:53] [CpMiko]: !p     https://youtu.be/AOWWcPxgcc8 

[22.1.2021 | 17:55:0] [CpMiko]: !s 

[22.1.2021 | 17:55:2] [CpMiko]: !p https://youtu.be/AOWWcPxgcc8 

[22.1.2021 | 17:56:23] [CpMiko]: ! https://youtu.be/AOWWcPxgcc8 

[22.1.2021 | 17:56:25] [CpMiko]: !p https://youtu.be/AOWWcPxgcc8 

[22.1.2021 | 17:57:20] [CpMiko]: !s 

[22.1.2021 | 17:57:25] [CpMiko]: !p ja jem kebaba ez 

