[17.1.2021 | 21:27:47] [`Gremi⭐]: m!help 

[17.1.2021 | 21:27:54] [Thor2137]: huj 

[17.1.2021 | 21:28:0] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:8] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!start 

[17.1.2021 | 21:28:10] [Thor2137]: m!start 

[17.1.2021 | 21:28:11] [`Gremi⭐]: m!start 

[17.1.2021 | 21:28:13] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:15] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:16] [`Gremi⭐]: m!mine 

[17.1.2021 | 21:28:17] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:19] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:21] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:22] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:25] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:26] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:27] [Thor2137]: m!mine 

[17.1.2021 | 21:28:27] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:28] [Thor2137]: m!mine 

[17.1.2021 | 21:28:29] [Thor2137]: m!mine 

[17.1.2021 | 21:28:29] [Thor2137]: m!mine 

[17.1.2021 | 21:28:30] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:31] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: m!mine 

[17.1.2021 | 21:28:31] [Thor2137]: m!minem!minem!mine 

[17.1.2021 | 21:28:32] [`Gremi⭐]: m!mine 

