[7.1.2021 | 16:50:12] [Shibe]: Analfabeta 

[7.1.2021 | 16:54:23] [COVER]: akordeon 

[8.1.2021 | 16:50:3] [👻Emka👻]: Natalia 

[10.1.2021 | 20:45:30] [Shibe]: Mama 

[10.1.2021 | 20:46:56] [Pikczel]: Adam 

[10.1.2021 | 20:50:25] [St3fan_K]: makowiec 

[10.1.2021 | 20:54:25] [Pikczel]: Cyrograf 

[10.1.2021 | 20:56:19] [St3fan_K]: fantazja 

[13.1.2021 | 16:48:54] [Asasin22]: życie 

[13.1.2021 | 16:50:3] [Agatka007]: Emil 

[13.1.2021 | 16:50:36] [Asasin22]: ludzie 

[13.1.2021 | 16:52:14] [Agatka007]: Ela 

[13.1.2021 | 16:52:44] [Asasin22]: Adam 

[13.1.2021 | 16:53:6] [Agatka007]: Maciek 

[13.1.2021 | 16:53:13] [Asasin22]: Karol 

[13.1.2021 | 16:53:18] [Agatka007]: Lena 

[13.1.2021 | 16:57:5] [Asasin22]: Antek 

[13.1.2021 | 16:57:17] [Agatka007]: Karolina 

[13.1.2021 | 16:57:33] [Asasin22]: Amelia 

[13.1.2021 | 20:14:52] [💜-Agatka007-💜]: Agnieszka 

[14.1.2021 | 18:38:45] [Asasin22]: Ananas 

[14.1.2021 | 18:58:32] [💜-Agatka007-💜]: Selena 

[15.1.2021 | 16:36:18] [Asasin22]: Adrian 

[15.1.2021 | 21:59:51] [Sverige AKA Damian.]: Nałęczowianka 

[20.1.2021 | 21:4:40] [Mr.BibleThump]: Ameryka 

[20.1.2021 | 22:7:8] [Sverige AKA Damian.]: Arkadiusz 

[21.1.2021 | 10:30:52] [Zuzannax00]: Słoń 

[21.1.2021 | 12:15:20] [Shibe]: Ń nie ma słowa na Ń 

[21.1.2021 | 22:6:51] [Sverige AKA Damian.]: Ńarkotyki 

[21.1.2021 | 22:7:26] [💜-Agatka007-💜]: Izba 

[21.1.2021 | 22:8:41] [Sverige AKA Damian.]: Arek 

[21.1.2021 | 22:10:52] [💜-Agatka007-💜]: Koks xD 

[21.1.2021 | 22:28:2] [Sverige AKA Damian.]: Szrek (some budy want tell me) 

[21.1.2021 | 23:12:28] [🐬 Bluenade_]: somebody once told me* 

[21.1.2021 | 23:14:43] [Sverige AKA Damian.]: Nie tu 

[21.1.2021 | 23:14:45] [Sverige AKA Damian.]: Ale ok 

[21.1.2021 | 23:15:39] [Sverige AKA Damian.]: Ogórek 

[22.1.2021 | 11:18:4] [DI0]: xanax 

[22.1.2021 | 12:54:1] [( ˘ ³˘)♥]: Xbox one s 

[23.1.2021 | 21:32:19] [--Szymiś--]: Smok 

[23.1.2021 | 21:33:5] [💜-Agatka007-💜]: Koala 

[23.1.2021 | 21:36:2] [Rycesz]: Aloes 

[23.1.2021 | 21:36:19] [💜-Agatka007-💜]: Sowa 

[23.1.2021 | 21:36:47] [🐬 Bluenade_]: ananas 

[23.1.2021 | 21:37:22] [💜-Agatka007-💜]: Saba 

[23.1.2021 | 23:23:50] [Zbychu1151]: Alan 

[26.1.2021 | 10:31:43] [..nath]: Noin 

[26.1.2021 | 11:20:13] [Rycesz]: N-word xD 

[26.1.2021 | 14:6:23] [🐬 Bluenade_]: donald 

[27.1.2021 | 9:28:33] [Sverige AKA Damian.]: damian 

[27.1.2021 | 17:46:9] [St3fan_K]: naleśniki 

[27.1.2021 | 17:46:35] [🐬 Bluenade_]: igła 

[28.1.2021 | 14:20:43] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: Yeti 

[28.1.2021 | 14:21:7] [Invejosa]: Iglo 

[28.1.2021 | 14:24:23] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: oko 

[28.1.2021 | 15:27:11] [Szop Pracz]: OgólnieInvejosaJestMiła 

[28.1.2021 | 16:1:43] [💜-Agatka007-💜]: Agnieszka 

[28.1.2021 | 16:1:52] [Invejosa]: Antylopa 

[28.1.2021 | 16:2:20] [NoOne]: Archipelag 

[28.1.2021 | 16:2:26] [Invejosa]: Geneza 

[28.1.2021 | 16:30:58] [Szop Pracz]: AWieszŻeInvejosaJestMiła 

[28.1.2021 | 16:39:30] [NoOne]: Awieszzesimpujesz 

[28.1.2021 | 16:42:42] [Invejosa]: AWieszŻeOnChceByćMiły? 

[28.1.2021 | 16:43:47] [NoOne]: ?tak:3wiem 

[28.1.2021 | 18:39:11] [Szop Pracz]: MówNaMnieGentelManAlboMiłySzop 

