[15.1.2021 | 13:5:21] [Domii ;3]: %fish 

[15.1.2021 | 13:5:25] [Domii ;3]: %fish 

[15.1.2021 | 13:5:29] [Domii ;3]: %fish 

[15.1.2021 | 18:37:44] [Mefedroniarz from przysieki]: %fish 

[15.1.2021 | 19:5:6] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:11] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:15] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:18] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:21] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:26] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:29] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:32] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:34] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:37] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:42] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:44] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:47] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:49] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:52] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:56] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:5:58] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:0] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:3] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:5] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:12] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

