[15.1.2021 | 18:21:15] [LL Soydere]: --ship gramy_w-dont_starve 

[15.1.2021 | 18:21:24] [LL Soydere]: no i ez 😎 

[15.1.2021 | 18:21:35] [rakiet]: --ship <@!696463363101818972>_wroci_najebana 

[15.1.2021 | 18:21:57] [Chadmille]: --ship don't starve <@!553947040409845765> 

[15.1.2021 | 18:22:9] [Chadmille]: --ship don't starve karol 

[15.1.2021 | 18:22:23] [Chadmille]: --ship don't_starve karol 

[15.1.2021 | 18:22:24] [LL Soydere]: --ship znikam 

[15.1.2021 | 18:22:36] [LL Soydere]: --ship idę_oglądać_anime 

[15.1.2021 | 18:22:48] [LL Soydere]: <:Pogchamp:776529888487276574> <@!557574908192751633> 

[15.1.2021 | 18:23:22] [Bartuzel]: --ship dawaj_ze_mna_poogladamy_razem 

[15.1.2021 | 18:23:28] [R)🏴]: @hamuj sie weebie <@!553947040409845765> 

[15.1.2021 | 18:23:29] [Chadmille]: --ship cringe 

[15.1.2021 | 18:23:32] [Chadmille]: o 

[15.1.2021 | 18:23:32] [Chadmille]: idealnie 

[15.1.2021 | 18:23:41] [rakiet]: --ship ola_nie_ogladaj_tego_prosze 

[15.1.2021 | 18:23:52] [Chadmille]: --ship jeba_disa 

[15.1.2021 | 18:24:5] [Chadmille]: --ship jebać_disa 

[15.1.2021 | 18:24:9] [Chadmille]: ajajaj 

[15.1.2021 | 18:24:11] [rakiet]: --ship ola_idz_sie_najebac_i_wroc 

[15.1.2021 | 18:24:30] [LL Soydere]: <@!696463363101818972> muszę odmówić, ale miłego oglądania <:Bloodtrail:765596158826512414> 

[15.1.2021 | 18:24:31] [Chadmille]: <:Bloodtrail:765596158826512414> 

[15.1.2021 | 18:24:49] [Chadmille]: biblethump 

[15.1.2021 | 18:24:58] [Chadmille]: <:biblethump:722493706065674311> 

[15.1.2021 | 18:25:6] [Chadmille]: kazde oszukuje ten karol 😦 

[15.1.2021 | 18:25:12] [Chadmille]: kazdego* 

