[14.1.2021 | 22:47:55] [`Gremi⭐]: 4 

[14.1.2021 | 22:48:29] [`Gremi⭐]: 684 

[15.1.2021 | 15:36:26] [rakiet]: .p https://www.youtube.com/watch?v=Muiqi10Fh9s 

[16.1.2021 | 20:2:26] [Bakuś]: ;shop 

[16.1.2021 | 20:2:46] [Bakuś]: ;bal 

[16.1.2021 | 20:2:50] [Bakuś]: ;collectincome 

[16.1.2021 | 20:3:1] [Bakuś]: ;work 

[16.1.2021 | 20:3:7] [Bakuś]: ;slut 

[16.1.2021 | 20:3:10] [Bakuś]: ;crime 

[16.1.2021 | 20:3:20] [Bakuś]: ;dep all 

[16.1.2021 | 21:23:48] [Domii ;3]: ;work 

[16.1.2021 | 21:23:51] [Domii ;3]: ;slut 

[16.1.2021 | 21:24:1] [Domii ;3]: ;crime 

[16.1.2021 | 21:24:8] [Domii ;3]: ;dep all 

[16.1.2021 | 21:24:12] [Domii ;3]: ;bal 

[17.1.2021 | 20:33:5] [Ruszeq]: n!help 

[17.1.2021 | 20:33:10] [Ruszeq]: Wait 

[17.1.2021 | 20:33:37] [`Gremi⭐]: !help 

[17.1.2021 | 20:33:51] [`Gremi⭐]: !server prefix n! 

[17.1.2021 | 20:34:11] [`Gremi⭐]: !server prefix <@!559426966151757824> n! 

[17.1.2021 | 20:34:16] [`Gremi⭐]: !help 

[17.1.2021 | 20:34:20] [`Gremi⭐]: n!help 

[17.1.2021 | 20:34:23] [`Gremi⭐]: kox 

[17.1.2021 | 21:1:36] [`Gremi⭐]: d 

[17.1.2021 | 21:1:39] [`Gremi⭐]: d!bump 

[17.1.2021 | 21:1:45] [`Gremi⭐]: !d bump 

[18.1.2021 | 11:31:21] [`Gremi⭐]: s?top 

[18.1.2021 | 18:33:10] [Pufferfish]: <@!577477982793236481> 

