[14.1.2021 | 18:43:45] [Asasin22]: Tak, Czy osoba niżej jest często aktywna na naszym serwerze? 

[14.1.2021 | 18:45:9] [NoOne]: Często i za dużo, czy osoba niżej interesuje się motoryzacją? 

[14.1.2021 | 18:59:43] [💜-Agatka007-💜]: Troche, nie za bardzo, czy osoba nizej lubi sok pomaranczowy? XD 

[15.1.2021 | 22:9:24] [Sverige AKA Damian.]: Nie gdzie osoba poniżej się urodziła (w jakim kraju) 

[16.1.2021 | 14:15:54] [Shibe]: W 🇵🇱. Czy osoba poniżej lubi/chce byc sławna 

[16.1.2021 | 22:52:34] [Cień twoich błędów]: Ani trochę. Czy osoba poniżej popiera tępienie furrasów? 

[17.1.2021 | 13:34:8] [Shibe]: Nie (czasami xD). Czy osoba poniżej lubi psy 

[17.1.2021 | 14:58:51] [𝙼𝙰𝙲𝙸𝙴𝚇]: wolę który, czy osoba poniżej woli morze czy góry 

[18.1.2021 | 17:43:17] [Nietoperz]: góry czy osoba poniżej ma depresję? 

[19.1.2021 | 9:51:15] [Sverige AKA Damian.]: Chyba tak nie wiem dokładnie, czy osoba poniżej była gdzieś na wakacjach? 

[19.1.2021 | 10:43:33] [Staris]: Tak byłem, czy osoba poniżej ma małego chuja ? 

[19.1.2021 | 10:50:36] [..nath]: Tak, czy osoba poniżej by ze mną poszła na skatepark? 

[19.1.2021 | 10:55:20] [Sverige AKA Damian.]: Jasne z przyjemnością, czy osoba poniżej ma psa rasy czarny terier rosyjski 

[19.1.2021 | 10:58:3] [..nath]: Nie, czy osoba niżej ma IPHONE? 

[19.1.2021 | 11:26:13] [Sverige AKA Damian.]: Nie, czy osoba poniżej ma samsunga? 

[19.1.2021 | 11:41:38] [..nath]: Tak, czy osoba niżej lubi rączki? 

[19.1.2021 | 12:0:42] [Sverige AKA Damian.]: Co to za pytanie? Czy osoba poniżej wraca do domu z skądś 

[19.1.2021 | 12:24:10] [Staris]: Nie e -lekcje 😦 Czy osoba poniżej uprawia jakiś sport ? 

[19.1.2021 | 12:25:1] [Invejosa]: Od dłuższego czasu nie, czy osoba poniżej jadła kiedykolwiek owocę morza? 

[19.1.2021 | 12:30:22] [Sverige AKA Damian.]: Tak kocham owoce morza, czy osoba poniżej ma drugą połówkę 

[19.1.2021 | 13:9:43] [..nath]: To skomplikowane, czy osoba poniżej ma fetysze? 

[19.1.2021 | 13:33:51] [Invejosa]: Umm, ma. Czy osoba poniżej płynęła kiedyś statkiem? 

[19.1.2021 | 13:56:51] [..nath]: Tak, czy osoba poniżej poszłaby ze mną się wyżyć w śniegu? 

[19.1.2021 | 15:58:39] [Sverige AKA Damian.]: Dlaczego nie? Czy osoba poniżej leciała/jechała/płyneła na wakacje za minimum 1000km 

[19.1.2021 | 15:59:56] [..nath]: Nie, osoba poniżej rysuje? 

[19.1.2021 | 16:1:55] [NoOne]: Bardziej szkicuje. Czy osoba poniżej lubi spacery, samemu w deszczu? 

[19.1.2021 | 16:18:54] [Sverige AKA Damian.]: Tak, czy osba czuje się osamotniona( 

[19.1.2021 | 16:18:56] [Sverige AKA Damian.]: ? 

[19.1.2021 | 16:19:50] [..nath]: Nie, czy osoba poniżej lubi vibe letnich zachdów? 

[21.1.2021 | 22:7:32] [Sverige AKA Damian.]: Nie, czy osoba poniżej lubi pracować lub pomagać 

[21.1.2021 | 22:7:38] [Sverige AKA Damian.]: ? 

[21.1.2021 | 22:8:32] [💜-Agatka007-💜]: Tak, czy oosba nizej ma psa? 

[21.1.2021 | 22:9:14] [Sverige AKA Damian.]: Tak, czy osoba poniżej gra w world of warships albo world of thanks? 

[21.1.2021 | 22:9:34] [💜-Agatka007-💜]: Tak czy osoba nizej gra w cs 

[21.1.2021 | 22:28:43] [Sverige AKA Damian.]: Tak, czy osoba ponizej ma swój własny komputer złożony od niczego 

[21.1.2021 | 22:28:46] [Sverige AKA Damian.]: ? 

[25.1.2021 | 13:6:12] [Shibe]: Tak. Czy osoba poniżej chce wrocic do szkoły/pracy do normalnego życia? 

[25.1.2021 | 22:13:11] [😟Fox😞]: tak, czy osoba poniżej mnie lubi? 

[25.1.2021 | 22:27:0] [🐬 Bluenade_]: nie, czy osoba poniżej przyniesie mi czekolade? bo umieram 

