[10.1.2021 | 20:54:51][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/797916380107767878/1.png] 

[10.1.2021 | 20:55:2] [Cichy]: 1 

[10.1.2021 | 20:55:9][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/797916455898972180/6181_check.gif] 

[10.1.2021 | 20:56:14][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/797916728671731752/1.png] 

[10.1.2021 | 20:56:29][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/797916793791315998/6374_100_bits_twitch.gif] 

[10.1.2021 | 20:57:0] [Cichy]: d 

[10.1.2021 | 20:57:31][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/797917055197380638/Wollfer.jpg] 

[12.1.2021 | 11:1:49] [ibadboi]: https://cdn.discordapp.com/emojis/743496304122003576.gif?v=1 

[15.1.2021 | 23:15:56][Oliwia123🎁🎀]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/799763835262337024/obraz_2021-01-15_231553.png] 

[15.1.2021 | 23:16:46] [Sverige AKA Damian.]: Fajnie że działa dzięki za pomoc :D 

[15.1.2021 | 23:20:1][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/799764861726621746/20210115_231941.jpg] 

[15.1.2021 | 23:20:2] [Sverige AKA Damian.]: To ja xD 

[15.1.2021 | 23:20:2] [Sverige AKA Damian.]: Ale mojego krzywego pysczka nie pokaże 

[15.1.2021 | 23:20:17] [Sverige AKA Damian.]: Ja z kolegami byłem u kolegi 

[15.1.2021 | 23:20:42] [Oliwia123🎁🎀]: ile lat miałeś? 

[15.1.2021 | 23:21:2] [Sverige AKA Damian.]: To nie dawno 

[15.1.2021 | 23:21:12] [Sverige AKA Damian.]: Jeszcze w 2020 

[15.1.2021 | 23:21:25] [Sverige AKA Damian.]: Chłyba nie podam 

[15.1.2021 | 23:21:36] [Oliwia123🎁🎀]: serio? 

[15.1.2021 | 23:21:38] [Sverige AKA Damian.]: A tam jest ister egg 

[15.1.2021 | 23:21:43] [Oliwia123🎁🎀]: to taki mlody jestes? 

[15.1.2021 | 23:21:56] [Sverige AKA Damian.]: Może tak wyglądam ale nie jestem 

[15.1.2021 | 23:22:12] [Sverige AKA Damian.]: Sprawdź pod moją pachą 

