[17.1.2021 | 21:33:19] [St3fan_K]: walną go młotek 

[17.1.2021 | 21:34:54] [Invejosa]: Spadł na ziemię 

[18.1.2021 | 9:35:33] [Shibe]: I mruga 

[18.1.2021 | 9:38:16] [St3fan_K]: przyszła papuga 

[18.1.2021 | 10:54:54] [Adan]: walneła go z czuba 

[19.1.2021 | 9:54:6] [Sverige AKA Damian.]: Wysłała do nieba 

[22.1.2021 | 10:2:57] [~Yumeko🦋~]: . 

[26.1.2021 | 10:31:35] [..nath]: Życie jest 

[26.1.2021 | 12:22:2] [Szop Pracz]: wspaniałe 🎶 

[26.1.2021 | 12:29:21] [Chmielewski002]: I piękne 

[26.1.2021 | 12:29:32] [Chmielewski002]: . 

[26.1.2021 | 12:30:25] [Szop Pracz]: ~~miało być nawiązanie do lego przygoda ale ok~~ 

[26.1.2021 | 12:31:25] [..nath]: Mam szopa 

[26.1.2021 | 12:31:30] [Chmielewski002]: Za gorami za lasami 

[26.1.2021 | 12:31:41] [..nath]: W domku z 

[26.1.2021 | 12:31:48] [Szop Pracz]: szopami 

[26.1.2021 | 12:31:48] [Chmielewski002]: Z KamiŁą 

[26.1.2021 | 12:32:0] [Chmielewski002]: I KamiŁą 

[26.1.2021 | 12:32:7] [Szop Pracz]: i chmielewski002 

[26.1.2021 | 12:32:19] [..nath]: Pan szop był 

[26.1.2021 | 12:32:25] [Chmielewski002]: Mądry 

[26.1.2021 | 12:32:42] [Szop Pracz]: Lecz chory na brak uśmiechu 

[26.1.2021 | 12:32:48] [Szop Pracz]: (depresje) 

[26.1.2021 | 12:32:58] [..nath]: Lecz chmielewski dał mu eliksir 

[26.1.2021 | 12:33:6] [Szop Pracz]: nie zadziałał 

[26.1.2021 | 12:33:38] [Chmielewski002]: Zadziałałby, gdybyś nie wylał 

[26.1.2021 | 12:33:57] [..nath]: KamiŁa przyniosła zapasy z piwnicy 

[26.1.2021 | 12:34:9] [Chmielewski002]: I uratowała Szopa 

[26.1.2021 | 12:34:26] [..nath]: . 

[26.1.2021 | 12:34:33] [Szop Pracz]: Nagle legenarny miecz pokazywał że wróg jest niedaleko , świecił sie jak nocnego 

[26.1.2021 | 12:34:59] [..nath]: Szop wziął nóż i pobiegł 

[26.1.2021 | 12:35:9] [Chmielewski002]: Dźgnal go 

[26.1.2021 | 12:35:25] [Szop Pracz]: MIECZ NIE NÓŻ chwycił i pobiegł na zachód 

[26.1.2021 | 12:35:39] [..nath]: I przez wypadek ten wróg zabił KamiŁe 

[26.1.2021 | 12:35:51] [Szop Pracz]: * wyjmuje leworwer * 

[26.1.2021 | 12:35:52] [Chmielewski002]: Chmieleki byl zrozpacozny 

[26.1.2021 | 12:36:11] [..nath]: A szop miał xD na twarzy 

[26.1.2021 | 12:36:29] [Szop Pracz]: szop odkręca soplice i kamiła ją wącha , nagle ożyła 

[26.1.2021 | 12:36:35] [Chmielewski002]: A wrogiem okazal się szop i sam się zabił. Koniec historii 

[26.1.2021 | 12:36:42] [..nath]: . 

[26.1.2021 | 12:36:59] [Szop Pracz]: to był jego brat bliźniak który pracował z wiewiórkami 

[26.1.2021 | 12:37:26] [..nath]: A wiewiórki pracowały z KamiLą 

[26.1.2021 | 12:37:37] [Chmielewski002]: A chmielewski pracowal z chmielewskimi 

[26.1.2021 | 12:38:5] [Szop Pracz]: okazały sie , że wiewiórki zdradziły kamile i chciały ją zabić przez nie nawiść do domku 

[26.1.2021 | 12:38:8] [..nath]: KamiŁa wyciągnęła alko i zaproponowała sojusz 

[26.1.2021 | 12:38:19] [Szop Pracz]: wiewiórki sie nie zgodziły 

[26.1.2021 | 12:38:28] [Chmielewski002]: I ją zabiły 

[26.1.2021 | 12:38:34] [Szop Pracz]: po raz drugi 

[26.1.2021 | 12:38:51] [..nath]: KamiŁa patrzyła duchem na nich pijąc alko 

[26.1.2021 | 12:39:8] [Chmielewski002]: A wtedy Chmielewski002 ożywił KamiŁe i wybił wiewiorki 

[26.1.2021 | 12:39:23] [..nath]: KamiŁa była zrospaczons 

[26.1.2021 | 12:39:38] [Chmielewski002]: Chmielewski uradowany 

[26.1.2021 | 12:39:48] [..nath]: Nagle pojawiła się rura 

[26.1.2021 | 12:40:5] [Szop Pracz]: * szop wyczół że miecz wibruje * KUrna kto dał mi zamiast miecza wibrator? 

[26.1.2021 | 12:40:18] [..nath]: KamiŁa zaczęła uciekać 

[26.1.2021 | 12:40:34] [Chmielewski002]: Szop wsadził wibrator martwej wiwiirc4 

[26.1.2021 | 12:40:39] [Szop Pracz]: * szop skoczył na plecak i schował wibrator * spokojnie nic nie zrobie 

[26.1.2021 | 12:40:58] [..nath]: KamiŁa go zabrała 

[26.1.2021 | 12:41:11] [Szop Pracz]: * we troje idą do domu * , ale akcja :O 

[26.1.2021 | 12:41:20] [..nath]: Jeszcze jak 

[26.1.2021 | 12:41:43] [Chmielewski002]: A, że szop byl dziwny, skoczył z mostu i padł 

[26.1.2021 | 12:42:1] [Szop Pracz]: lecz ożył po 0,2 sek 

[26.1.2021 | 12:42:6] [Szop Pracz]: i uciekł 

[26.1.2021 | 12:42:13] [..nath]: KamiŁa zaczęła latać 

[26.1.2021 | 12:42:14] [Szop Pracz]: do domu 

[26.1.2021 | 12:42:31] [Chmielewski002]: Chmielewski zaczął pełzać 

[26.1.2021 | 12:42:47] [..nath]: KamiŁa zrobiła popcorn 

[26.1.2021 | 12:42:59] [Szop Pracz]: szop wrócił do domu , usiadł na kanape i zwinoł sie w kłębek jedząc popcorn 

[26.1.2021 | 12:43:10] [Chmielewski002]: ( Zaraz wrócę, idę się myć ) 

[26.1.2021 | 12:43:29] [..nath]: To mój popcorn mówi KamiŁa 

[26.1.2021 | 12:43:50] [Szop Pracz]: Lecz kamiła jest super i sie podzieliła 

[26.1.2021 | 12:43:56] [..nath]: Bruh 

[26.1.2021 | 12:44:9] [..nath]: Nagle zadzwonił dzwonek do dźwięku 

[26.1.2021 | 12:45:27] [Szop Pracz]: Okazało sie że to wojsko wiewiórek , szop zabragtdowal drzwi i strzelił przez nie i trafił 3 wiewióry 

[26.1.2021 | 12:46:9] [..nath]: KamiŁa postanowiła pokazać swoją drugą twarz i przemienila się w wiedźmę 

[26.1.2021 | 12:46:36] [Szop Pracz]: ale wieźma pokazała 2 twarz i sie zmieniła pernamętnie w kamiłe 

[26.1.2021 | 12:47:7] [..nath]: KamiŁa zaczęła czarować i  zmieniła wiewiórki w kebaby 

[26.1.2021 | 12:47:40] [Szop Pracz]: ale kebaby były zatrute więc dała je reszcie wiewiórek by zdechły , ale to tylko zwiększyło je 

[26.1.2021 | 12:48:9] [..nath]: KamiŁa zamieniła szopa w terminatora 

[26.1.2021 | 12:48:25] [Szop Pracz]: ale szop miał zaklęcie anty zmieniające 

[26.1.2021 | 12:49:10] [..nath]: KamiŁa postanowila w takim razie  wziąść sprawę w swoje ręce i poszła bić się z wieeiórami solo 

[26.1.2021 | 12:49:46] [Szop Pracz]: szop jej pomógł bo są best friends i jego mieczem przepołowił wszystkie i spalił na stosie 

[26.1.2021 | 12:51:8] [..nath]: Zaczęli tańczyć wokól ogniska z wiewiórek 

[26.1.2021 | 12:52:9] [Szop Pracz]: potem wyczarowali popcorn i pepsi i patrzyli jak cierpią dusze nie czyste 

[26.1.2021 | 12:53:39] [..nath]: Nagle zaczęła się wyłaniać rura o kamiła wraz z duszami wiewiór zaczęła tańczyć striptiz 

[26.1.2021 | 12:54:34] [Szop Pracz]: szop wyciągać kamiłe a dołożył drewna do ognia , i ogień sie stał niebieski 

[26.1.2021 | 12:55:5] [..nath]: Kamiła pocalowała szopa 

[26.1.2021 | 12:55:8] [🐬 Bluenade_]: po czym wchodze ja i pytam "co tu sie odwala" 

[26.1.2021 | 12:55:30] [Szop Pracz]: Szop przytulił kamile i zmienił look na ten : 

[26.1.2021 | 12:55:33] [..nath]: Kamiła się zesrała i uciekła do ladu 

[26.1.2021 | 12:55:45][Szop Pracz]: na ten look zmienił szop [Image Link:https://cdn.discordapp.com/attachments/799032248069914624/803594023121059840/War_Game.png] 

[26.1.2021 | 12:57:20] [Szop Pracz]: szop wyciągną spadochron i polecaił do kamili i zrobił dla niej zżut papieru toaletowego bo jej brakowało i odleciał do domu 

[26.1.2021 | 12:58:34] [..nath]: Kamiła miała wtf na twarzy i zmieniała się w smoka. Zaczęła mu gryźć spadochron i wzieła w łapy. Po czym róże zaczęły spadać i kamiła zmieniła się w siebie i zaczęła znowu całować szopa 

[26.1.2021 | 12:58:36] [..nath]: Bruh 

[26.1.2021 | 12:59:6] [🐬 Bluenade_]: meanwhile ja mdleje bo zobaczyłam pająka 

[26.1.2021 | 12:59:27] [Szop Pracz]: szop mówi : też umiem sztuczke zrobić * zmienia sie w smoka który wygląda jak szop * 

[26.1.2021 | 12:59:41] [Szop Pracz]: * mówi głębokim głosem * widzisz? 

[26.1.2021 | 12:59:43] [..nath]: Kamiła spierdzieliła 

[26.1.2021 | 13:0:16] [Szop Pracz]: * szop sie zmieniłw szopa * uspokoiła kamiłe przytulasem i polepszył jej dzień 

[26.1.2021 | 13:1:3] [..nath]: Kamiła zobaczyła w szopie cos niezwykłego i postanowiła spaść  z klifu 

[26.1.2021 | 13:2:6] [Szop Pracz]: szop sie zmienia w smoka a kamiła miękko ląduje na plecach smoka z futrem i to ją tak odstresowało że przytuliła go 

[26.1.2021 | 13:2:24] [🐬 Bluenade_]: umieram 

[26.1.2021 | 13:2:35] [..nath]: Kamiła pokochała szopa i umarła 

[26.1.2021 | 13:3:18] [Szop Pracz]: Szop ożywił kamiłe i położył do łóżka domku i pilnował by było wszystko z nią dobrze i zrobiła jej jedzonko pyszne dobre 

[26.1.2021 | 13:3:40] [..nath]: KamiŁa musiała odmówić, bo jest na diecie 

[26.1.2021 | 13:4:0] [Szop Pracz]: ale szop jej zrobił sałatkie z super dodatkami 

[26.1.2021 | 13:5:12] [..nath]: Kamiła niechętnie zaczęła jeść i wwpchała łyżkę sałatki szopowi do ust ^^ 

[26.1.2021 | 13:5:30] [🐬 Bluenade_]: bluenade patrzy z góry na kamiłe i szopa jak żyją razem w szczęściu 

[26.1.2021 | 13:5:43] [Szop Pracz]: szop polubił smak i zrobił kamiły soczek naturalny 

[26.1.2021 | 13:6:55] [Szop Pracz]: szop dał słomke do soczku i podał kamiłi 

[26.1.2021 | 13:7:29] [..nath]: Kamiła popatrzyła Sue na szopa i dała mu buzi w poliko 

[26.1.2021 | 13:8:5] [Szop Pracz]: szop sie położył w kłębek na kolankach kamiłi by ją uspokoić 

[26.1.2021 | 13:8:18] [Szop Pracz]: i pokazać gest 

[26.1.2021 | 13:9:8] [..nath]: Kamiła zaczęła go głaskaç po głowie i podziekowała 

[26.1.2021 | 13:9:28] [Szop Pracz]: szop zaczłoł słodko mruczeć 

[26.1.2021 | 13:10:1] [..nath]: Kamiła patrzyła na niego z zauroczeniem 

[26.1.2021 | 13:10:23] [Szop Pracz]: szop zaczoł pisać wiersz na kartce o kamiłi 

[26.1.2021 | 13:10:58] [..nath]: Kamiła poczuła się szczęśliwie 

[26.1.2021 | 13:11:41] [Szop Pracz]: Szop pisze końcówke : Kamiła dla szopa , oczywiście miła , taka to sóber duszyczka 

[26.1.2021 | 13:13:47] [Szop Pracz]: szop odłożył kartke i zasną w kłębku a kamiła zobaczyła wiersz i nie uwierzyła swojim pinknym oczkom 

[26.1.2021 | 13:14:12] [..nath]: Kamiła polubiła szopa 

[26.1.2021 | 13:14:28] [Szop Pracz]: a szop nawzajem 

[26.1.2021 | 13:15:28] [Szop Pracz]: szop zasnoł i zaczą słodko mruczyć i ogrzewa kamiłę 

[26.1.2021 | 13:15:57] [..nath]: Kamiła chwyciła go za rękę i zasnęła z nim 

[26.1.2021 | 13:15:58] [..nath]: . 

[26.1.2021 | 13:16:37] [Szop Pracz]: zasneli razem na kanapie , noc upłyneła a szopek wstaje rano by zrobić jedzonko i soczek dla kamiły 

[26.1.2021 | 13:18:16] [..nath]: Kamiła się obudziła i zaczęła się tuli od tylu 

[26.1.2021 | 13:19:9] [Szop Pracz]: szop sie przestraszył i sie szklanka na niego wylała 

[26.1.2021 | 13:19:42] [Szop Pracz]: o hej :) 

[26.1.2021 | 13:19:53] [Szop Pracz]: ja pościeram ten soczek 

[26.1.2021 | 13:19:55] [Szop Pracz]: nic nie szkodzi 

[26.1.2021 | 13:20:57] [..nath]: Kamiła zaczęła wycierać za niego 

[26.1.2021 | 13:21:1] [..nath]: Hejka 

[26.1.2021 | 13:21:24] [Szop Pracz]: to ja zrobie nowy soczek twój ulubiony , jedzonko jest w jadalni 

[26.1.2021 | 13:21:55] [Chmielewski002]: To ja przyniosę salatke dla KamiŁy i zjemy pokarm wspólnie 

[26.1.2021 | 13:21:56] [..nath]: Zjesz ze mną? 

[26.1.2021 | 13:22:11] [Szop Pracz]: ja zjadłem 

[26.1.2021 | 13:22:18] [Szop Pracz]: ale sobie wypije przy was kawke 

[26.1.2021 | 13:22:25] [Chmielewski002]: Chmielewski wypije 

[26.1.2021 | 13:22:32] [Chmielewski002]: Zje* 

[26.1.2021 | 13:22:49] [Szop Pracz]: o chmielewski też dla ciebie zrobiłem śniadanie 

[26.1.2021 | 13:22:51] [Szop Pracz]: :) 

[26.1.2021 | 13:23:24] [..nath]: Będziemy jeść we 3 

[26.1.2021 | 13:23:33] [..nath]: Bo bez szopa nie zjem 

[26.1.2021 | 13:24:4] [Szop Pracz]: ja będę pił , ale wczoraj zrobiłem bez kaloryczne ciasteczka to troche zjem 

[26.1.2021 | 13:24:6] [Szop Pracz]: reszta dla was 

[26.1.2021 | 13:25:6] [Chmielewski002]: Ja zostawie dla KamiŁi 

[26.1.2021 | 13:25:13] [Chmielewski002]: Swoją porcje 

[26.1.2021 | 13:25:27] [Szop Pracz]: chcesz kawe bo będę sobie robił? 

[26.1.2021 | 13:25:53] [Chmielewski002]: Tak, a to się tyczy kanału <#799032248069914624> ? 

[26.1.2021 | 13:25:57] [..nath]: Ale ja sama tyle nie zjem ;-; 

[26.1.2021 | 13:26:10] [Chmielewski002]: Najwyżej Ci pomogę 

[26.1.2021 | 13:27:0] [Szop Pracz]: tak , to ja nastawie w maszynie do kawki 

[26.1.2021 | 13:27:6] [Szop Pracz]: kawe 

[26.1.2021 | 13:27:18] [..nath]: (Ja idę moi koledzy mili) 

