[26.1.2021 | 10:38:24] [Shibe]: /propozycje tes 

[26.1.2021 | 10:38:31] [Shibe]: #help 

[26.1.2021 | 10:38:37] [Shibe]: #clear 

[27.1.2021 | 9:32:31] [Shibe]: <@&801028235370299399> 

[27.1.2021 | 9:33:34] [Shibe]: Czas: Do 12:30 

[27.1.2021 | 9:33:44] [Truskawa5]: ok 

[27.1.2021 | 9:34:4] [Truskawa5]: @everyone  to ważne 

[27.1.2021 | 9:34:5] [Shibe]: Nie pisz Ok? 

[27.1.2021 | 10:12:17] [Truskawa5]: Jaką chcecie nową edycje 🌳 -survival  🏡 -creative 🌏 -jakaś mapa 

[27.1.2021 | 10:13:0] [Truskawa5]: @here 

[27.1.2021 | 10:13:41] [Truskawa5]: głosowanie trwa do 11 

[27.1.2021 | 10:13:46] [Kuba Izydorczyk]: można zrobić co survival i mapę 

[27.1.2021 | 10:13:56] [Truskawa5]: ? 

[27.1.2021 | 10:14:7] [Shibe]: <@689900525457768449>  za chwile warn nie mozna głosować na dwa 

[27.1.2021 | 10:24:34] [Shibe]: <@&801028235370299399> 

[27.1.2021 | 10:26:9] [Shibe]: Czas do : 11:30 

[27.1.2021 | 11:50:18] [Truskawa5]: @here 

[27.1.2021 | 12:19:27] [Truskawa5]: kto miesza w reakcjach i usuwa moją? 

[27.1.2021 | 12:22:24] [Shibe]: Nie dawaj reakcje na swoją mapę <@689853240002740338>  i <@509049979692908551> 

[27.1.2021 | 12:24:46] [Shibe]: Koniec głosowania bierzemy <@689853240002740338>  mapę jest 5:2 

[27.1.2021 | 12:25:50] [Kuba Izydorczyk]: czyli wyspę ognia? 

[27.1.2021 | 12:26:4] [Shibe]: Sprawdź masz napisane 

[28.1.2021 | 11:7:51] [Shibe]: Czas: 11:30 

[28.1.2021 | 11:7:59] [Shibe]: <@&801028235370299399> 

[28.1.2021 | 11:8:40] [Kuba Izydorczyk]: możemy zrobić find the button o 18.00 a o 18.30 start 

[28.1.2021 | 11:8:47] [Truskawa5]: nom 

[28.1.2021 | 13:28:33] [Shibe]: <@&801028235370299399> 

[28.1.2021 | 13:29:4] [Shibe]: <@&801028235370299399> 

[28.1.2021 | 13:29:8] [Kuba Izydorczyk]: a co to rekrutacja? 

[28.1.2021 | 13:29:12] [Shibe]: Czas do: 14 

[28.1.2021 | 13:29:19] [Shibe]: Podanie na pomocnik 

[28.1.2021 | 13:29:26] [Kuba Izydorczyk]: a ok 

