[8.1.2021 | 12:28:34] [Cichy]: <@!749016976793272360> 

[8.1.2021 | 12:29:11] [Cichy]: <@!749016976793272360> 

[8.1.2021 | 12:30:21] [Cichy]: <@!749016976793272360> 

[8.1.2021 | 14:24:35] [Cichy]: \<:Minutnik:797077181057466369> 

[8.1.2021 | 17:6:51] [NoOne]: - .- -.- 

[8.1.2021 | 17:7:4] [Cichy]: Tak, tak. 

[8.1.2021 | 17:7:23] [NoOne]: Coraz bardziej lubię tego bota 

[8.1.2021 | 17:7:41] [Cichy]: Przepadacie za pokemonami? Jeden z użytkowników zaproponował mi zrobienie takiej komendy. 

[8.1.2021 | 17:8:9] [NoOne]: Osobiście nie, ale warto popytać innych 

[8.1.2021 | 18:22:5] [AdamPester]: daw 

[8.1.2021 | 18:22:19] [Cichy]: Tak? 

[8.1.2021 | 18:26:44] [AdamPester]: nic nic 

[8.1.2021 | 20:9:22] [Cichy]: /leave 

[8.1.2021 | 20:9:27] [Cichy]: /shop 

[8.1.2021 | 20:17:50] [Shibe]: Moge tez 

[8.1.2021 | 20:17:54] [Cichy]: Tak, testuje. 

[9.1.2021 | 20:7:44] [Invejosa]: Oo. Odznaki, to dla mnie? 

[9.1.2021 | 20:8:3] [Cichy]: Zablokowałem Wam podgląd. 

[9.1.2021 | 20:8:21] [Invejosa]: A, bo tylko Ty będziesz mógł je nadać, tak? 

[9.1.2021 | 20:8:26] [Cichy]: Tak. 

[9.1.2021 | 20:8:44] [Cichy]: Do /usun i /dodaj nie macie dostępu, do /odznaki i /listaodznak macie uprawnienia. 

[9.1.2021 | 20:9:26] [Invejosa]: Fajne to 

[9.1.2021 | 20:10:36] [Invejosa]: Mogę jakąś odznake? 

[9.1.2021 | 20:10:43] [Cichy]: Dzielnego pacjętan, od lekarza. 

[9.1.2021 | 20:11:20] [Invejosa]: Ja chcę to, co zrobiłeś Ty 

[9.1.2021 | 20:12:4] [Cichy]: Ja bym chciał gwiazdkę z nieba. Szukajcie błędów w bocie, to wynagrodzenie zostanie przyznane. 

[9.1.2021 | 21:54:4] [Invejosa]: Te odznaki coś dają? 

[9.1.2021 | 21:55:18] [Cichy]: Będziesz się wyróżniała, tyle w temacie. Lecz jeżeli będziesz miała odznakę developera, możesz otrzymać dostęp do plików bota. 

[9.1.2021 | 21:56:8] [Invejosa]: Oo, a te inne? 

[9.1.2021 | 21:56:17] [Invejosa]: Sponsor, support? 

[9.1.2021 | 21:56:29] [Cichy]: Jeszcze nie wiem. 

[9.1.2021 | 21:56:35] [Cichy]: Są, bo zostaną wykorzystanę. 

[9.1.2021 | 21:57:44] [Invejosa]: Okej 

[10.1.2021 | 11:25:28] [AdamPester]: hm 

[10.1.2021 | 12:7:30] [Cichy]: \<:Minigry:796526501251645449> 

[10.1.2021 | 12:51:50] [Cichy]: 2 

[10.1.2021 | 12:51:51] [Cichy]: 3 

[10.1.2021 | 12:51:52] [Cichy]: 4 

[10.1.2021 | 12:51:53] [Cichy]: 5 

[10.1.2021 | 12:51:53] [Cichy]: 6 

[10.1.2021 | 12:51:54] [Cichy]: 7 

[10.1.2021 | 12:51:55] [Cichy]: 9 

[10.1.2021 | 12:51:57] [Cichy]: 10 

[10.1.2021 | 12:51:59] [Cichy]: 10 

[10.1.2021 | 12:52:3] [Cichy]: 1000 

[10.1.2021 | 12:52:10] [Cichy]: /liczenie 

[10.1.2021 | 12:53:13] [Cichy]: 1 

[10.1.2021 | 12:53:27] [Cichy]: 1 

[10.1.2021 | 12:53:31] [Cichy]: 23 

[10.1.2021 | 13:2:25] [Cichy]: /43 

[10.1.2021 | 15:3:36] [Agatka007]: Rps kamien 

