[27.1.2021 | 10:41:49] [Truskawa5]: @everyone  zostało przegłosowane na mape teraz każdy pisze rodzaj mapy jaki chce i ta propozycja która zbierze najwięcej 👍 

[27.1.2021 | 10:43:7] [Truskawa5]: <@&801028235370299399> 

[27.1.2021 | 10:43:36] [Truskawa5]: nikt nie pisze xD 

[27.1.2021 | 10:46:7] [banio]: https://www.minecraftmaps.com/survival-maps/horizon-survival 

[27.1.2021 | 10:46:15] [Kuba Izydorczyk]: latające wyspy ale nie skyblock, albo wyspa 

[27.1.2021 | 11:36:51] [Truskawa5]: @here 

[27.1.2021 | 11:37:50] [Borys_Adamczyk]: Nieiwm fajną mapę. 

[27.1.2021 | 11:37:58] [Borys_Adamczyk]: Dużo gór by było fajnie 

[27.1.2021 | 11:38:30] [Kuba Izydorczyk]: znaczy mapę stworzoną przez kogoś 

[27.1.2021 | 11:40:9] [Truskawa5]: ej a dawajcie zrobimy w piątek wszcyscy raze find the button dla zabawy 

[27.1.2021 | 11:42:44] [Truskawa5]: https://minecraftmapy.pl/mapa/PUEAjm 

[27.1.2021 | 12:2:5] [Kuba Izydorczyk]: find the button! jestem za 

[27.1.2021 | 12:2:21] [Kuba Izydorczyk]: ja jestem za tą mapą 

[27.1.2021 | 12:3:2] [Truskawa5]: głosuja na ankiety 

[27.1.2021 | 12:23:5] [Borys_Adamczyk]: wez ta wyspeognia 

[27.1.2021 | 12:24:14] [Borys_Adamczyk]: 👏 

[27.1.2021 | 12:24:30] [Kuba Izydorczyk]: zagłosuj <@!689900525457768449> na ankiety 

[27.1.2021 | 12:25:3] [Shibe]: Juz sie skończyło 

[27.1.2021 | 12:26:46] [Borys_Adamczyk]: zagłosowałem 

[27.1.2021 | 12:29:46] [Kuba Izydorczyk]: szkoda tylko, że mapa jest na 1.14.4 ale no cóż 

[27.1.2021 | 12:30:26] [banio]: jest ma 1.14.4??? 

[27.1.2021 | 12:30:36] [Kuba Izydorczyk]: chyba 

[27.1.2021 | 12:30:39] [banio]: jezu co maciek ma do 1.14 że tak to lubi xD 

[27.1.2021 | 12:30:42] [Kuba Izydorczyk]: sprawdzę jeszcze 

[27.1.2021 | 12:31:15] [Kuba Izydorczyk]: tak, jest na 1.14.4 

[27.1.2021 | 12:31:32] [Kuba Izydorczyk]: oby mapa to wynagrodziła 

[27.1.2021 | 12:37:26] [banio]: eh 

