[7.1.2021 | 17:49:44] [COVER]: 6946 

[7.1.2021 | 17:53:8] [COVER]: xd 

[7.1.2021 | 17:53:34] [Cichy]: Kilka nowych komend dodałem. 

[7.1.2021 | 17:53:42] [COVER]: ok 

[7.1.2021 | 17:53:55] [Cichy]: M.in /hug, /kiss, /cat, /dog, /coinflip 

[7.1.2021 | 17:54:41] [COVER]: ale słodkie 

[7.1.2021 | 18:4:32] [COVER]: /shipe 

[7.1.2021 | 18:5:57] [Cichy]: Możesz użyć: /ship <@!632672411141013530>, np. 

[7.1.2021 | 18:6:31] [Cichy]: Lub /ship <@!632672411141013530> <@!749016976793272360>, przykładowo. 

[7.1.2021 | 18:9:47] [COVER]: ok 

[7.1.2021 | 18:9:48] [COVER]: dz 

[7.1.2021 | 18:10:17] [COVER]: xd 

[7.1.2021 | 18:10:21] [Asasin22]: oof 

[7.1.2021 | 18:10:25] [COVER]: xd 

[7.1.2021 | 18:15:32] [COVER]: aha ok to takie coś 

[7.1.2021 | 18:16:47] [COVER]: /ball 

[7.1.2021 | 18:17:1] [COVER]: a 

[7.1.2021 | 18:17:49] [COVER]: xddddddddddd 

[7.1.2021 | 18:17:52] [COVER]: hahahahahhah 

[7.1.2021 | 18:26:35] [COVER]: a ok 

[7.1.2021 | 18:27:47] [COVER]: xd 

[7.1.2021 | 22:6:48] [NoOne]: .collect-income 

[7.1.2021 | 22:9:49] [COVER]: .collect-income 

[7.1.2021 | 22:9:55] [COVER]: najs 

[7.1.2021 | 22:10:58] [COVER]: aha 

[7.1.2021 | 22:10:59] [COVER]: ok 

[7.1.2021 | 22:21:33] [COVER]: xd 

[7.1.2021 | 22:48:2] [szym402pl]: .top 

[7.1.2021 | 22:48:49] [szym402pl]: .top 2 

[7.1.2021 | 22:49:21] [szym402pl]: .money 475609104103112704 

[7.1.2021 | 22:49:30] [szym402pl]: .money <@!721619240721055797> 

[7.1.2021 | 22:49:36] [szym402pl]: .rob <@!721619240721055797> 

[7.1.2021 | 22:49:39] [szym402pl]: .crime 

[7.1.2021 | 22:49:40] [szym402pl]: .work 

[7.1.2021 | 22:49:41] [szym402pl]: .slut 

[7.1.2021 | 22:49:44] [szym402pl]: .collect-income 

[7.1.2021 | 22:49:46] [szym402pl]: .dep all 

[7.1.2021 | 22:49:48] [szym402pl]: .top 

[7.1.2021 | 23:15:22] [Order]: .shop 

[7.1.2021 | 23:15:28] [Order]: .shop 2 

[7.1.2021 | 23:15:39] [Order]: .bal 

[7.1.2021 | 23:50:0] [Shibe]: .collect-income 

[7.1.2021 | 23:50:4] [Shibe]: .dep all 

[8.1.2021 | 11:13:24] [COVER]: /coin flip 

[8.1.2021 | 11:13:57] [COVER]: xd 

[8.1.2021 | 21:34:24] [COVER]: /konto mc 

[8.1.2021 | 21:34:32] [COVER]: /kontomc 

[8.1.2021 | 21:35:11] [Cichy]: Tutaj zmiana. 

[8.1.2021 | 21:35:52] [COVER]: a ok 

[9.1.2021 | 16:35:27] [Cover]: .work 

[9.1.2021 | 16:35:50] [Cover]: .collect-income 

[9.1.2021 | 21:55:20] [Kamil]: .work 

[9.1.2021 | 21:55:24] [Kamil]: .slut 

[9.1.2021 | 21:55:26] [Kamil]: .crime 

[9.1.2021 | 21:55:36] [Kamil]: .collect-income 

[9.1.2021 | 21:55:46] [Kamil]: .dep all 

[9.1.2021 | 21:55:50] [Kamil]: .lb 

[9.1.2021 | 21:56:10] [Kamil]: .shop 

[9.1.2021 | 21:57:18] [Kamil]: .shop 2 

[9.1.2021 | 23:14:2] [Invejosa]: Yhm 

[10.1.2021 | 11:58:28] [FiczetoX]: .collect-income 

[10.1.2021 | 11:58:32] [FiczetoX]: .work 

[10.1.2021 | 11:58:40] [FiczetoX]: .dep all 

[10.1.2021 | 12:31:1] [Fafola12]: .collect-income 

[10.1.2021 | 12:31:30] [Fafola12]: .work 

[10.1.2021 | 12:31:35] [Fafola12]: .crime 

[10.1.2021 | 12:31:45] [Fafola12]: .slut 

[10.1.2021 | 12:34:27] [NoOne]: .dep all 

[10.1.2021 | 13:46:52] [Cover]: .collect-income 

[10.1.2021 | 13:46:59] [Cover]: .bal 

[10.1.2021 | 13:47:9] [Cover]: .dep all 

[10.1.2021 | 14:19:28] [Shibe]: .collect-income 

[10.1.2021 | 14:34:44] [St3fan_K]: .collect-income 

[10.1.2021 | 14:34:53] [St3fan_K]: .dep all 

[10.1.2021 | 14:35:5] [St3fan_K]: .work .slut .crime 

[10.1.2021 | 14:35:13] [St3fan_K]: .slut 

[10.1.2021 | 14:35:19] [St3fan_K]: .crime 

[10.1.2021 | 14:35:53] [St3fan_K]: .dep all 

[10.1.2021 | 14:35:56] [St3fan_K]: .lb 

[10.1.2021 | 15:2:19] [Agatka007]: .worm 

[10.1.2021 | 15:2:24] [Agatka007]: .crime 

[10.1.2021 | 15:2:26] [Agatka007]: .slut 

[10.1.2021 | 15:2:28] [Agatka007]: .dep all 

[10.1.2021 | 15:2:31] [Agatka007]: .bal 

[11.1.2021 | 15:25:41] [FiczetoX]: .collect-income 

[11.1.2021 | 15:25:46] [FiczetoX]: .work 

[11.1.2021 | 15:25:49] [FiczetoX]: .dep all 

[11.1.2021 | 15:48:53] [St3fan_K]: .collect-income 

[11.1.2021 | 15:48:58] [St3fan_K]: .work 

[11.1.2021 | 15:49:0] [St3fan_K]: .crime 

[11.1.2021 | 15:49:3] [St3fan_K]: .slut 

[11.1.2021 | 15:49:10] [St3fan_K]: .dep all 

[11.1.2021 | 15:49:16] [St3fan_K]: .top 

[11.1.2021 | 17:11:10] [!  Maciejos]: s?m 

[11.1.2021 | 17:54:26] [Pikczel]: Wreszcie 

[11.1.2021 | 17:55:57] [Pikczel]: Polecam jeszcze unieważnić zaproszenia od ferrundera/Andrzeja/Ksenomorf/Alicji. 

[11.1.2021 | 17:57:18] [Cichy]: Jeżeli banuje się użytkownika, jego ip jest także banowane, nie wejdzie już na serwer. 

[11.1.2021 | 17:57:25] [Cichy]: Nie trzeba unieważniać. 

[11.1.2021 | 17:57:42] [Pikczel]: To jak się dostał ponownie 

[11.1.2021 | 17:59:19] [Cichy]: Widocznie przyczynił się do tego proces zmiany IP. 

[11.1.2021 | 17:59:40] [Pikczel]: Czyli vpn 

[11.1.2021 | 21:22:13] [Agatka007]: .work 

[11.1.2021 | 21:22:15] [Agatka007]: .crime 

[11.1.2021 | 21:22:16] [Agatka007]: .slut 

[11.1.2021 | 21:22:18] [Agatka007]: .dep all 

[11.1.2021 | 21:22:25] [Agatka007]: .bal 

[11.1.2021 | 21:22:38] [Agatka007]: .top 

[12.1.2021 | 0:0:53] [ŁC_]: .collect 

[12.1.2021 | 0:1:5] [ŁC_]: .collcect-income 

[12.1.2021 | 0:1:20] [ŁC_]: .bal 

[12.1.2021 | 0:1:23] [ŁC_]: .help 

[12.1.2021 | 0:1:26] [Cichy]: Literówkę zrobiłeś. 

[12.1.2021 | 0:1:29] [Cichy]: Napisałeś: .collcect-income 

[12.1.2021 | 0:1:33] [NoOne]: .collect-income 

[12.1.2021 | 0:1:36] [Cichy]: `collcect` 

[12.1.2021 | 0:1:40] [NoOne]: .slut 

[12.1.2021 | 0:1:43] [NoOne]: .crime 

[12.1.2021 | 0:1:47] [NoOne]: .work 

[12.1.2021 | 0:1:51] [NoOne]: .dep all 

[12.1.2021 | 0:1:57] [ŁC_]: .collect-income 

[12.1.2021 | 0:16:7] [Cover]: aha 

[12.1.2021 | 0:16:7] [Cover]: xd 

[12.1.2021 | 0:16:15] [Cover]: jej 

[12.1.2021 | 0:25:36] [NoOne]: /minecrafy 

[12.1.2021 | 0:25:59] [NoOne]: Gdzie panda :( 

[12.1.2021 | 0:26:17] [Invejosa]: Może pandy nie ma 

[12.1.2021 | 0:26:27] [NoOne]: <a:PanCryy:753530102398320700> 

[12.1.2021 | 0:26:44] [Invejosa]: 🐼 😢 

[12.1.2021 | 0:26:54] [NoOne]: /minecrafy 

[12.1.2021 | 0:27:0] [Cichy]: Jutro Wam pandę dodam. 

[12.1.2021 | 0:27:8] [NoOne]: Jej :) 

[12.1.2021 | 0:27:38] [NoOne]: <a:PandaHYPE:777696673719255093> 

[12.1.2021 | 10:50:51] [Shibe]: .collet-income 

[12.1.2021 | 11:18:11] [Cichy]: Dodałem Wam pandę. 

[12.1.2021 | 11:19:19] [Invejosa]: O 

[12.1.2021 | 11:19:27] [Invejosa]: Panda niby jest 

[12.1.2021 | 11:19:48] [Invejosa]: O 

[12.1.2021 | 11:19:50] [Invejosa]: Pandusia 

[12.1.2021 | 11:19:50] [NoOne]: <a:PandaHYPE:777696673719255093> 

[12.1.2021 | 11:20:5] [NoOne]: Więcej nie użyje tej komendy 

[12.1.2021 | 11:20:15] [Invejosa]: Dlaczego? 

[12.1.2021 | 11:20:30] [NoOne]: Bo Pandy są najlepsze <:panda:791580465969496084> 

[12.1.2021 | 11:20:41] [Invejosa]: No tak... Pandy najlepsze! 

[12.1.2021 | 11:51:43] [Shibe]: Pies 

[12.1.2021 | 11:52:9] [Shibe]: Wolf 

[12.1.2021 | 11:54:24] [Shibe]: .collect-income 

[12.1.2021 | 11:54:29] [Shibe]: .dep all 

[12.1.2021 | 11:54:31] [Shibe]: .work 

[12.1.2021 | 11:54:33] [Shibe]: .crime 

[12.1.2021 | 11:54:34] [Shibe]: .slut 

[12.1.2021 | 11:54:39] [Shibe]: .dep all 

[12.1.2021 | 11:54:41] [Shibe]: .bal 

[12.1.2021 | 11:54:42] [Shibe]: .top 

[12.1.2021 | 22:31:4] [Agatka007]: .work 

[12.1.2021 | 22:31:7] [Agatka007]: .crime 

[12.1.2021 | 22:31:8] [Agatka007]: .slut 

[12.1.2021 | 22:31:10] [Agatka007]: .dep all 

[12.1.2021 | 22:31:15] [Agatka007]: .bal 

[12.1.2021 | 22:31:18] [NoOne]: .work 

[12.1.2021 | 22:31:23] [NoOne]: .slut 

[12.1.2021 | 22:31:28] [NoOne]: .crime 

[12.1.2021 | 22:31:30] [NoOne]: .dep all 

[12.1.2021 | 23:13:3] [Cover]: .collect-income 

[12.1.2021 | 23:13:14] [Cover]: .money 

[12.1.2021 | 23:13:23] [Cover]: .dep all 

