[19.1.2021 | 11:51:40] [Invejosa]: Wznawiamy aktywność, halo, halo 

[19.1.2021 | 12:22:22] [St3fan_K]: halo, halo 

[19.1.2021 | 12:22:28] [Invejosa]: Halo, halo 

[19.1.2021 | 12:29:25] [Sverige AKA Damian.]: Halo, halo 

[19.1.2021 | 12:31:47] [Shibe]: Halo,halo 

[19.1.2021 | 12:33:0] [Sverige AKA Damian.]: Halo, halo 

[20.1.2021 | 23:42:20] [Szop Pracz]: Halo halo hej siemanko to ja szopek 

[20.1.2021 | 23:44:28] [Invejosa]: Halo halo 

[20.1.2021 | 23:53:23] [💜-Agatka007-💜]: Halo halo 

[26.1.2021 | 20:32:18] [Pikczel]: whoa czemu nie ma invejosy na serwerze 

[27.1.2021 | 10:27:3] [Sverige AKA Damian.]: nie wiem 

[27.1.2021 | 13:16:32] [Szop Pracz]: <@!793522598000459788> wreszcie wróciłaś :D 

[27.1.2021 | 13:16:36] [Szop Pracz]: daj sie przytulić 

[27.1.2021 | 13:16:46] [Szop Pracz]: https://tenor.com/view/hug-virtual-hug-hug-sent-gif-5026057 

[27.1.2021 | 13:16:49] [Invejosa]: Dam się przytulić 

