[27.1.2021 | 9:22:46] [Truskawa5]: ej co wy na to, żebyśmy dali mod z bronią 

[27.1.2021 | 9:23:2] [Truskawa5]: znalazłem fajny na 1.16.4 

[27.1.2021 | 9:23:58] [Truskawa5]: @everyone 

[27.1.2021 | 9:24:16] [Kuba Izydorczyk]: a da się na forge przełączyć 

[27.1.2021 | 9:24:21] [Truskawa5]: tak 

[27.1.2021 | 9:24:35] [Kuba Izydorczyk]: a trzeba mieć moda żeby móc grać 

[27.1.2021 | 9:24:43] [Truskawa5]: raczej tak 

[27.1.2021 | 9:25:5] [Kuba Izydorczyk]: bo ja tak niezbyt umiem instalować mody 

[27.1.2021 | 9:25:23] [Kuba Izydorczyk]: do tego mi tak średnio pasuje 

[27.1.2021 | 9:25:32] [Kuba Izydorczyk]: zróbmy głosowanie 

[27.1.2021 | 9:25:42] [Truskawa5]: ok na ankiety 

[27.1.2021 | 9:25:53] [Truskawa5]: <@!722715695884009482>  zrobisz ankiete? 

[27.1.2021 | 9:31:32] [Truskawa5]: <@!722715695884009482> 

[27.1.2021 | 9:31:48] [Shibe]: Za chwile 

[27.1.2021 | 9:31:49] [Truskawa5]: sorry że spamie, ale to ważne 

[27.1.2021 | 9:31:54] [Truskawa5]: oke 

