[7.1.2021 | 16:56:15] [Eωil]: JEbać <@!674351923607896110> 

[7.1.2021 | 20:11:37] [YT    ToJaAress]: https://discord.gg/s5bM882s 

[7.1.2021 | 20:12:33] [NoOne]: <@587299143823654923> nie wysyłaj linków, każdy zostanie automatycznie usunięty 

[7.1.2021 | 20:13:9] [NoOne]: Zwróć uwagę na 1.6 <#755759966312333312> 

[7.1.2021 | 20:13:14] [YT    ToJaAress]: Każdy link 

[7.1.2021 | 21:16:53] [Pikczel]: Hmm dziwne spodziewałem się większej aktywności osób na kanałach głosowych. 

[7.1.2021 | 23:15:45] [Agatka007]: Zachecam do wybrania sobie dodatkowych ról na <#743204206084751491> . 

[7.1.2021 | 23:35:21] [Perocjusz]: . 

[7.1.2021 | 23:41:58] [Creeperek]: Siema 

[7.1.2021 | 23:42:9] [Agatka007]: Heej 

[7.1.2021 | 23:42:41] [NoOne]: Dobry wieczór 

[8.1.2021 | 11:29:8] [Bebik]: siema która klika w myszkę 

[8.1.2021 | 11:30:54] [Bebik]: https://cdn.discordapp.com/emojis/779354883827957811.gif?v=1 

[8.1.2021 | 11:31:15] [ShibonNotFound]: https://tenor.com/view/oh-omg-fish-shookt-triggered-gif-9720855 

[8.1.2021 | 13:31:24] [Order]: Cześć 

[8.1.2021 | 13:33:42] [Cichy]: Witaj. 

[8.1.2021 | 23:34:42] [Order]: <@793522598000459788> cześć ile masz lat ? 

[10.1.2021 | 11:58:0] [FiczetoX]: Dzień dobry 

[10.1.2021 | 15:9:8] [Złykocur Yuumi]: Elo 

[10.1.2021 | 15:9:17] [NoOne]: Witaj 

[10.1.2021 | 19:53:38] [Pati3456]: . 

[10.1.2021 | 20:21:49] [_DOG_YT_]: Mogę współpacę? 

[10.1.2021 | 20:22:34] [_DOG_YT_]: <@&730187138619932754> ???? 

[10.1.2021 | 20:23:21] [Cichy]: Zgłoś się do pomocników. 

[10.1.2021 | 20:23:32] [_DOG_YT_]: Jakich?? 

[10.1.2021 | 20:24:0] [Cichy]: Shibe, Cover, El-samu. 

[10.1.2021 | 20:24:6] [Cichy]: Asasin22. 

[10.1.2021 | 20:24:25] [_DOG_YT_]: Ok 

[10.1.2021 | 20:27:0] [NoOne]: Zapraszam pv 

[10.1.2021 | 20:27:32] [FiczetoX]: Nie chcę się wtrącać, ale u mnie teź można 

[10.1.2021 | 20:28:37] [NoOne]: Oczywiście, że tak 

[10.1.2021 | 20:43:52] [Shibe]: Jesli ktos chce współpracę to piszcie do <@&730534940499771462>, <@&777272077823639602>, <@&777269536017481768>  i <@&730535148424003757> 

[10.1.2021 | 20:44:1] [Shibe]: Przypnie ktos? 

[10.1.2021 | 20:44:5] [Shibe]: undefined 

[10.1.2021 | 22:26:47] [Order]: cześć 

[10.1.2021 | 22:26:53] [Order]: jak tam leci ? 

[10.1.2021 | 22:27:18] [NoOne]: Powoli w przód 

[11.1.2021 | 15:26:37] [FiczetoX]: Dzień dobry 

