[25.1.2021 | 13:11:53] [Shibe]: <@689853240002740338>  nie kick <@!749016976793272360> 

[25.1.2021 | 13:16:29] [Truskawa5]: ok 

[25.1.2021 | 13:27:36] [_____]: <@&802136769894023228> gra ktoś teraz 

[25.1.2021 | 13:27:38] [_____]: ? 

[25.1.2021 | 13:27:46] [Kuba Izydorczyk]: ja po religii 

[25.1.2021 | 13:28:19] [_____]: A no tak jeszcze religia zapomniałem 

[25.1.2021 | 14:19:5] [Kuba Izydorczyk]: pytanie: w jaki sposób układacie sobie narzędzia i bronie na pasku szybkiego wyboru? 

[25.1.2021 | 18:12:0] [Shibe]: <@&802136769894023228>  gra ktos 

[25.1.2021 | 18:38:29] [Kuba Izydorczyk]: <@&802136769894023228> ktoś gra 

[25.1.2021 | 18:39:23] [Shibe]: Ja 

[25.1.2021 | 18:39:32] [Shibe]: <@!689813998329135112> 

[25.1.2021 | 18:39:38] [Kuba Izydorczyk]: ok 

[25.1.2021 | 18:40:27] [Truskawa5]: Ja będę za jakieś 10 min może 15 

[26.1.2021 | 10:47:6] [Truskawa5]: 【!】 

[26.1.2021 | 10:48:40] [Kuba Izydorczyk]: {?} 

[26.1.2021 | 12:40:17] [_____]: a 

[26.1.2021 | 12:40:18] [_____]: a 

[26.1.2021 | 12:40:19] [_____]: a 

[26.1.2021 | 12:40:19] [_____]: a 

[26.1.2021 | 12:40:20] [_____]: a 

[26.1.2021 | 18:17:5] [Shibe]: <@&802136769894023228>  gra ktos 

[26.1.2021 | 18:24:11] [Truskawa5]: Ja teraz mogę grać tylko w weekendy 

[26.1.2021 | 19:6:50] [banio]: ok 

[26.1.2021 | 20:27:35] [Shibe]: <@!689813998329135112>  mozesz grać od 15:30-18:30 

[26.1.2021 | 22:5:22] [Kuba Izydorczyk]: <@722715695884009482> niestety ale niezbyt. Od 18.30 bym mógł. 

[27.1.2021 | 9:40:27] [Truskawa5]: @everyone  na chwilę wyrzuciłem borysa bo musze wam o czymś napisać 

[27.1.2021 | 9:40:38] [Kuba Izydorczyk]: pisz 

[27.1.2021 | 9:40:45] [Shibe]: Czym 

[27.1.2021 | 9:41:4] [to ja, nie ty]: no 

[27.1.2021 | 9:41:13] [to ja, nie ty]: https://media.discordapp.net/attachments/381916320423215104/800648566019325952/h_i-1.gif 

[27.1.2021 | 9:42:26] [Kuba Izydorczyk]: oj ale on się rozpisuje 

[27.1.2021 | 9:42:34] [Truskawa5]: mianowicie ja z pomocą bartka chcemy zrobić ustawioną wojnę z borysem, oczywiście nie dostanie za nią bana. Mod z bronią był by tylko na czas wojny, według mnie to była by fajna opcja jeśli według was nie to nic do tego nie mam, po prostu chciałem was poinformować 

[27.1.2021 | 9:42:57] [Shibe]: A XD 

[27.1.2021 | 9:43:4] [Kuba Izydorczyk]: ok dzięki XD 

[27.1.2021 | 9:43:7] [Truskawa5]: xD 

[27.1.2021 | 9:43:15] [Shibe]: Moge clear? 

[27.1.2021 | 9:43:18] [Kuba Izydorczyk]: a po co było to napięcie 

[27.1.2021 | 9:43:23] [Truskawa5]: o 10 

[27.1.2021 | 9:43:38] [Truskawa5]: żeby każdy zobaczył 

[27.1.2021 | 9:43:41] [Shibe]: Ok 

[27.1.2021 | 9:43:44] [Truskawa5]: nwm xD 

[27.1.2021 | 9:43:53] [Shibe]: <@&801028235370299398>  @here 

[27.1.2021 | 9:46:41] [banio]: jprdl rafał maciek już zrobił @everyone 

