[26.1.2021 | 17:17:16][!            𝖆𝖓𝖉𝖗𝖔𝖒𝖊𝖉𝖆🤍]: <@!632672411141013530> [Image Link:https://cdn.discordapp.com/attachments/795077090952216596/803659831658414140/unknown.png] 

[27.1.2021 | 16:45:9] [Otakuguy]: Dlaczego meme to kanał nsfw ?! 

[28.1.2021 | 16:25:37][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/795077090952216596/804371611888255007/unknown.png] 

[28.1.2021 | 16:26:12][S1mpelka]: undefined [Image Link:https://cdn.discordapp.com/attachments/795077090952216596/804371760195698719/Screenshot_20210128-162557_Discord.jpg] 

[28.1.2021 | 16:26:17] [S1mpelka]: <@632672411141013530> 

[28.1.2021 | 16:26:22] [Szop Pracz]: a to ciekawe 

[28.1.2021 | 16:26:30] [NoOne]: <:bancat:778378814085791775> 

[28.1.2021 | 16:26:32] [Szop Pracz]: łączmy sie w bulu 

[28.1.2021 | 16:27:3] [Szop Pracz]: +1 

