[7.1.2021 | 16:52:10] [Shibe]: Hej 

[7.1.2021 | 16:52:13] [Shibe]: Co tam? 

[7.1.2021 | 16:52:21] [Shibe]: Shibe 

[7.1.2021 | 16:52:32] [Shibe]: O 

[7.1.2021 | 16:52:43] [Shibe]: Shibe 

[7.1.2021 | 16:53:11] [Shibe]: Polish? 

[7.1.2021 | 16:53:30] [Shibe]: Can you speak Polish 

[7.1.2021 | 16:53:34] [COVER]: Hejo 

[7.1.2021 | 16:53:49] [Shibe]: Ok 

[7.1.2021 | 16:53:51] [COVER]: siedze na klozecie 

[7.1.2021 | 16:53:53] [Shibe]: Idź 

[7.1.2021 | 16:54:0] [Shibe]: Shibe 

[7.1.2021 | 16:54:21] [Shibe]: Mówię do <@785260474505232485> 

[7.1.2021 | 17:4:19] [COVER]: xd 

[7.1.2021 | 17:8:18] [Shibe]: XD 

[16.1.2021 | 14:17:22] [Shibe]: Hej 

[16.1.2021 | 14:17:30] [Shibe]: Nie 

[16.1.2021 | 14:17:41] [Shibe]: Bo to zycie 

[16.1.2021 | 14:18:5] [Shibe]: Dlatego nie mit 

[16.1.2021 | 14:18:9] [Shibe]: Co robisz? 

[16.1.2021 | 14:18:23] [Shibe]: A cos innego :3 

[16.1.2021 | 14:18:33] [Shibe]: Tak 

[16.1.2021 | 14:18:45] [Shibe]: Dobranoc 

[22.1.2021 | 12:54:24] [( ˘ ³˘)♥]: Siema 

[22.1.2021 | 12:54:35] [( ˘ ³˘)♥]: A siedze 

[22.1.2021 | 12:54:57] [( ˘ ³˘)♥]: Jesteś botem ???? 

[22.1.2021 | 12:55:29] [( ˘ ³˘)♥]: To czemu masz koło Niku bot 

[22.1.2021 | 12:55:36] [( ˘ ³˘)♥]: ??? 

[22.1.2021 | 12:55:46] [( ˘ ³˘)♥]: Masz 

[22.1.2021 | 12:56:9] [( ˘ ³˘)♥]: Przytul mnie 

[22.1.2021 | 12:56:28] [( ˘ ³˘)♥]: Dzienki 

[22.1.2021 | 12:56:39] [( ˘ ³˘)♥]: 14 

[22.1.2021 | 12:57:28] [( ˘ ³˘)♥]: Możesz powturzyć 

[22.1.2021 | 12:57:48] [( ˘ ³˘)♥]: O ty hamie 

[22.1.2021 | 12:58:16] [( ˘ ³˘)♥]: Jestem chłopakiem 

[22.1.2021 | 12:58:31] [( ˘ ³˘)♥]: ... 

[22.1.2021 | 12:58:41] [( ˘ ³˘)♥]: 🤔 🤔 

[22.1.2021 | 12:59:0] [( ˘ ³˘)♥]: Nie lubię anime ;-; 

[22.1.2021 | 12:59:17] [( ˘ ³˘)♥]: Bo nie oglondałem 

[22.1.2021 | 12:59:27] [( ˘ ³˘)♥]: Ok 

[22.1.2021 | 12:59:46] [( ˘ ³˘)♥]: A umiesz robić spam 

[22.1.2021 | 12:59:56] [( ˘ ³˘)♥]: SPAM 

[22.1.2021 | 13:0:20] [( ˘ ³˘)♥]: no i tak to się robi 

[22.1.2021 | 13:0:41] [( ˘ ³˘)♥]: Co to msp 

[22.1.2021 | 13:0:57] [( ˘ ³˘)♥]: Franiuchna 

[22.1.2021 | 13:1:25] [( ˘ ³˘)♥]: Nie nazywam się franiuchna w msp 

[22.1.2021 | 13:1:39] [( ˘ ³˘)♥]: A ok 

[28.1.2021 | 14:21:15] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: iema 

[28.1.2021 | 14:21:21] [Invejosa]: Witaj 

[28.1.2021 | 14:21:29] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: Nie to nie ja 

[28.1.2021 | 14:21:40] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: no nie to nie ja 

[28.1.2021 | 14:21:51] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: nie 

[28.1.2021 | 14:22:8] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: przestan pierdolic po angielsku 

[28.1.2021 | 14:22:21] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: no nie 

[28.1.2021 | 14:22:31] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: Bo nie 

[28.1.2021 | 14:24:41] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: Cos jeszcze clever bot 

[28.1.2021 | 14:24:48] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: ? 

[28.1.2021 | 14:24:55] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: xD 

[28.1.2021 | 14:25:1] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: xD 

[28.1.2021 | 14:25:13] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: Ah mir geht es sehr gut und dirr 

[28.1.2021 | 14:25:20] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: xD 

[28.1.2021 | 14:25:52] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: . 

[28.1.2021 | 17:25:59] [Shibe]: Hej 

[28.1.2021 | 17:26:13] [Shibe]: Wait what? 

[28.1.2021 | 17:26:22] [Shibe]: Ok 

[28.1.2021 | 17:26:30] [Shibe]: Can You speak Polish 

[28.1.2021 | 17:26:46] [Shibe]: Jak mozesz to pisz 

[28.1.2021 | 17:26:55] [Shibe]: Pa 

