[26.1.2021 | 11:35:4] [Bartolinski]: znalazlem bład 

[26.1.2021 | 11:35:24] [ŁC_]: jaki? 

[26.1.2021 | 11:35:32] [Bartolinski]: jak wchodze na serwer  to latam i nie moge sie zalogowac bo mnie wyrzuca za fly hacka 

[26.1.2021 | 11:36:0] [St3fan_K]: serwer jest w budowie 

[26.1.2021 | 11:36:18] [Bartolinski]: ale ja mam dostep 🙂 

[26.1.2021 | 11:37:10] [ŁC_]: spróbuje to naprawić 

[26.1.2021 | 11:37:24] [ŁC_]: że na początku tepa na spawn 

[26.1.2021 | 11:37:33] [Bartolinski]: k 

[26.1.2021 | 12:7:28] [St3fan_K]: znalazłem błąd 

[26.1.2021 | 12:8:25] [St3fan_K]: nie da sięwystawić nic na rynek 

[26.1.2021 | 12:18:20] [ŁC_]: a jaki masz błąd na chcie? 

[26.1.2021 | 12:22:59] [St3fan_K]: unknow comend 

[26.1.2021 | 12:23:39] [St3fan_K]: type ah help for help 

[26.1.2021 | 12:23:48] [St3fan_K]: a jak pisze ah help 

[26.1.2021 | 12:23:57] [St3fan_K]: wyskakuje to samo 

[26.1.2021 | 12:27:31] [ŁC_]: a jaką komendę wcześniej wpisałeś? 

[26.1.2021 | 12:28:32] [St3fan_K]: /ah sell 10000 

[26.1.2021 | 12:28:37] [St3fan_K]: xd 

[26.1.2021 | 12:28:48] [ŁC_]: xD 

[26.1.2021 | 12:29:14] [ŁC_]: sróbuj /rynek sprzedaj <cena> 

[26.1.2021 | 15:11:47] [Bartolinski]: niemoge  otworzyc skleu na spawn 

[26.1.2021 | 15:31:44] [ŁC_]: jaka wiadomość się wyświetla? 

[26.1.2021 | 16:26:55] [Bartolinski]: nic klikam i nic sie nie pojawia 

[26.1.2021 | 16:27:49] [ŁC_]: możliwe że po reload plugin przestaje działać. Mogę zrestartować serwer 

[26.1.2021 | 16:28:5] [Bartolinski]: k 

[26.1.2021 | 16:29:21] [Bartolinski]: to robisz? 

[26.1.2021 | 16:36:27] [Bartolinski]: <@!681602161351720988>  MarykKateAnn1 zrobił relod i nei dziala 

[26.1.2021 | 16:37:2] [ŁC_]: ale nie reload tylko restart 

[26.1.2021 | 16:37:12] [Bartolinski]: to zrób 

[26.1.2021 | 16:41:39] [Bartolinski]: dziala 

[26.1.2021 | 19:40:6] [St3fan_K]: znalazłem błąd 

[26.1.2021 | 19:40:44][St3fan_K]: undefined [Image Link:https://cdn.discordapp.com/attachments/757621809742086305/803695940774133860/2021-01-26_1.png] 

[26.1.2021 | 19:40:57][St3fan_K]: undefined [Image Link:https://cdn.discordapp.com/attachments/757621809742086305/803695992394350622/2021-01-26_2.png] 

[26.1.2021 | 19:57:6] [ŁC_]: to zara naprawie 

[26.1.2021 | 20:35:43] [Bartolinski]: Xd 

[26.1.2021 | 21:12:13] [St3fan_K]: to ciągle jest... 

