[27.1.2021 | 9:16:49] [Truskawa5]: amazonka 

[28.1.2021 | 10:36:37] [Borys_Adamczyk]: arab 

[28.1.2021 | 10:43:40] [Truskawa5]: bok 

[28.1.2021 | 10:44:4] [Shibe]: Karol 

[28.1.2021 | 10:50:18] [Kuba Izydorczyk]: limonkowy sok 

[28.1.2021 | 10:51:46] [Truskawa5]: kot 

[28.1.2021 | 10:52:8] [Kuba Izydorczyk]: trawa 

[28.1.2021 | 10:53:2] [Truskawa5]: amazonia xD 

[28.1.2021 | 10:54:8] [Kuba Izydorczyk]: alaska 

[28.1.2021 | 10:54:57] [Truskawa5]: antarktyda 

[28.1.2021 | 10:55:56] [Kuba Izydorczyk]: ajajaj 

[28.1.2021 | 10:56:8] [Truskawa5]: jajo 

[28.1.2021 | 10:56:27] [Kuba Izydorczyk]: żarówki z niemiec 

[28.1.2021 | 10:56:38] [Truskawa5]: co xD 

[28.1.2021 | 10:56:44] [Kuba Izydorczyk]: zaraz wytłumacze 

[28.1.2021 | 10:56:54] [Truskawa5]: ekonomia 

[28.1.2021 | 10:56:58] [Kuba Izydorczyk]: te żarówki nazywają się OSRAM XD 

[28.1.2021 | 10:57:5] [Truskawa5]: a no tak xDDDDDDDDDDDDd 

[28.1.2021 | 10:57:14] [Kuba Izydorczyk]: aras 

[28.1.2021 | 10:57:37] [Truskawa5]: skromność 

[28.1.2021 | 11:10:41] [Kuba Izydorczyk]: ciach ciach 

[28.1.2021 | 11:10:52] [Truskawa5]: hokej 

[28.1.2021 | 11:11:41] [Kuba Izydorczyk]: jo-jo 

[28.1.2021 | 11:12:27] [Truskawa5]: oko 

[28.1.2021 | 11:13:9] [Kuba Izydorczyk]: oferty 

[28.1.2021 | 11:13:32] [Truskawa5]: yeti 

[28.1.2021 | 11:14:17] [Kuba Izydorczyk]: iskrrrrrrrrrrrrrrrra 

[28.1.2021 | 11:15:3] [Truskawa5]: alarm 

[28.1.2021 | 11:15:16] [Kuba Izydorczyk]: muzyka 

[28.1.2021 | 11:16:53] [Truskawa5]: aaa skończ z tym aaaa 

[28.1.2021 | 11:19:30] [Kuba Izydorczyk]: Ale jA już nie znAm innych słów i zdAń 

[28.1.2021 | 11:53:3] [banio]: akrobata 

[28.1.2021 | 12:14:7] [_____]: armata 

