[15.1.2021 | 11:39:36] [Panda123456]: https://discord.gg/EnUeR7JXTR <@715305588124549181> wbijaj fajny serwer 

[15.1.2021 | 11:40:34] [Panda123456]: <@728727472941695039>  wbij ·‘↑^^^^ 

[18.1.2021 | 16:54:29] [Panda123456]: x ! Backup create 

[18.1.2021 | 16:55:3] [Panda123456]: x!backup create 

[18.1.2021 | 16:55:19] [Panda123456]: x!lockdown 

[18.1.2021 | 17:7:37] [Panda123456]: x!lockdawn 

[18.1.2021 | 17:7:51] [Panda123456]: x!lock down 

[18.1.2021 | 17:8:3] [Panda123456]: x!lock dawn 

[19.1.2021 | 12:4:43][Panda123456]: Tak wygląda ten serwer z perspektywy użytkownika [Image Link:https://cdn.discordapp.com/attachments/778530240841908264/801044464885694504/IMG_20210119_120308.jpg] 

[19.1.2021 | 12:22:31] [Panda123456]: <@715305588124549181> 

[19.1.2021 | 12:22:46] [Poprostu_Świnia]: aha 

[19.1.2021 | 12:23:0] [Panda123456]: Zablokowane kanały są 

[19.1.2021 | 12:23:14] [Panda123456]: Dla <@&777854918316654612> 

[19.1.2021 | 12:23:24] [Poprostu_Świnia]: Rozumiem 

[19.1.2021 | 12:24:2] [Panda123456]: Popristu serwer zamknięty 

[19.1.2021 | 12:24:36] [Panda123456]: Tyle pracy na nic 

[19.1.2021 | 12:36:7] [TygrysGames]: 😭 😭 😭 

[19.1.2021 | 12:45:39] [Panda123456]: <@728727472941695039>  po co tskie emotki jak to jest też wina twoja 0% aktywności nic ja ostatnio cie zapingowałem nie wbiłaś na serwer ownhc.pl oatatnio tu wysłałem zapro <@715305588124549181> wbiła a ty co nic 

[19.1.2021 | 12:46:35] [Poprostu_Świnia]: wlasnie 

[19.1.2021 | 12:46:50] [Panda123456]: !rank 

[19.1.2021 | 12:47:1] [Panda123456]: !rank <@715305588124549181> 

[19.1.2021 | 12:47:2] [TygrysGames]: Mowilem pa 

[19.1.2021 | 12:47:14] [TygrysGames]: Bo jechalem na ferje 

[19.1.2021 | 12:47:23] [Panda123456]: !rank <@728727472941695039> 

[19.1.2021 | 12:47:33] [TygrysGames]: I nie oglondalem dsc 

[19.1.2021 | 12:47:42] [Poprostu_Świnia]: jakim prawem 

[19.1.2021 | 12:47:54] [Panda123456]: Nwm 

[19.1.2021 | 12:48:10] [Panda123456]: To jestvnie prawda 

[19.1.2021 | 12:49:36] [Panda123456]: Ojejć chyba dałem jej bana 

[19.1.2021 | 12:51:1] [Panda123456]: He he 

[19.1.2021 | 12:52:13] [Poprostu_Świnia]: ups xD 

[19.1.2021 | 12:52:46] [Panda123456]: Witan xynder 

[19.1.2021 | 12:55:34] [Panda123456]: <@715305588124549181> patrz kto wrocił xynder 

[19.1.2021 | 12:55:57] [Poprostu_Świnia]: Widzę 

[19.1.2021 | 12:56:27] [Panda123456]: Zamianka tygrysgames na xynder xd 

[19.1.2021 | 13:20:37] [/LB/Xynder]: > Witam <@640504316146221056>
<@568387537127735316> cześć 

[19.1.2021 | 13:21:33] [Panda123456]: !rank <@640504316146221056> 

[19.1.2021 | 13:23:33][Panda123456]: Nasze poziomy które teraz mamy [Image Link:https://cdn.discordapp.com/attachments/778530240841908264/801064297790046218/card-2.png] 

[19.1.2021 | 13:24:10] [Panda123456]: !rank <@780895130978746408> 

[19.1.2021 | 13:24:20] [Panda123456]: Xd 

[22.1.2021 | 10:3:21][Panda123456]: Xd [Image Link:https://cdn.discordapp.com/attachments/778530240841908264/802101085531406386/image0.jpg] 

[22.1.2021 | 10:3:56] [Panda123456]: @everyone 

[22.1.2021 | 10:10:7] [Poprostu_Świnia]: ok ale nie śmieszne 

[22.1.2021 | 10:39:1] [/LB/Xynder]: XD 

[22.1.2021 | 11:38:24] [Panda123456]: Kupiłem sobie fajne są jak oceniacie od 1 do 10 
 @everyone 

[22.1.2021 | 11:40:0][Panda123456]: Kupiłem sobie fajne są jak oceniacie od 1 do 10 [Image Link:https://cdn.discordapp.com/attachments/778530240841908264/802125404671836170/IMG_20210122_112544.jpg] 

[22.1.2021 | 11:40:6][Panda123456]: undefined [Image Link:https://cdn.discordapp.com/attachments/778530240841908264/802125427665141801/IMG_20210122_112646.jpg] 

[22.1.2021 | 11:40:44] [Panda123456]: @everyone 

[22.1.2021 | 11:47:9] [Poprostu_Świnia]: Spoko są 

[22.1.2021 | 11:48:56] [Panda123456]: Z mirofonrm i podświwtleniem ic do gury tam masz napisane co masz zrobic 

[22.1.2021 | 11:49:27] [Poprostu_Świnia]: 7,5 

[28.1.2021 | 16:55:12] [Panda123456]: Poprostu świnia doatała bana 

