[7.1.2021 | 17:38:56][Order]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/796779914383851590/IMG_36611.png] 

[8.1.2021 | 16:17:54] [Szop Pracz]: +1 

[8.1.2021 | 16:50:56] [👻Emka👻]: https://tenor.com/view/thumb-okay-ok-thumbs-up-gif-7585355 

[8.1.2021 | 16:54:24] [NoOne]: <:AK_Kitty_ThumbsUp:768666522334789662> 

[8.1.2021 | 17:16:10] [Szop Pracz]: https://cdn.discordapp.com/avatars/707306125011320904/a_fe42508a256ca5395becab863df58dda.gif?size=1024 

[10.1.2021 | 20:54:21][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/797916257709981726/1f4b0.png] 

[10.1.2021 | 20:56:38][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/797916829539500052/2000px-Tools-spanner-hammer.svg.png] 

[10.1.2021 | 20:56:52] [Cichy]: d 

[15.1.2021 | 22:11:18][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/799747567160131634/received_691691361428701.webp] 

[15.1.2021 | 22:11:23] [Sverige AKA Damian.]: 😂 

[15.1.2021 | 22:18:45] [🔥MT.ARO TVP.🔥]: Ale odlot 

[15.1.2021 | 23:13:9] [💜-Agatka007-💜]: XDDD 

[17.1.2021 | 21:32:37] [St3fan_K]: xd 

[18.1.2021 | 10:36:17] [Adan]: XD 

[18.1.2021 | 10:36:53] [Adan]: XDDDDDDD 

[18.1.2021 | 10:37:12] [St3fan_K]: to jest złe 

[18.1.2021 | 10:37:25] [sirvel_wolf]: +1 

[18.1.2021 | 10:38:34] [Adan]: XDDD 

[18.1.2021 | 10:52:49] [Adan]: https://giphy.com/gifs/half-life-garys-mod-byTNGY1dV0nXG 

[19.1.2021 | 9:42:23][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/801008642106458143/Screenshot_20210118-212152_Instagram.jpg] 

[19.1.2021 | 9:42:58] [Sverige AKA Damian.]: xD 

[20.1.2021 | 23:20:36][Mr.BibleThump]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/801576944100966411/memy_na_poniedziaek_20210117_233816_0.jpg] 

[22.1.2021 | 10:57:38] [DI0]: https://cdn.discordapp.com/attachments/680928395399266314/801770562258862100/ae.mp4 

[22.1.2021 | 10:59:27] [DI0]: https://cdn.discordapp.com/attachments/792792798377279509/801887978624516116/video0_5-1.mp4 

[22.1.2021 | 11:3:50][DI0]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/802116305741414420/Day_Ruined_Emoji_17012021174336.png] 

[22.1.2021 | 13:12:49] [Michael afton]: lol 

[22.1.2021 | 14:39:3][Mr.BibleThump]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/802170466722775090/memosraka_20210121_162501_0.jpg] 

[22.1.2021 | 19:1:40][NoOne]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/802236556949717022/video0-22.mp4] 

[22.1.2021 | 19:1:43] [NoOne]: To mnie bawi 

[22.1.2021 | 19:1:48] [NoOne]: Nie rozumiem dlaczego 

[23.1.2021 | 13:8:42] [sirvel_wolf]: > Nie rozumiem dlaczego
<@562341280726908930> chyba przez muzyke 

[23.1.2021 | 13:9:16] [NoOne]: Prawdopodobnie tak 

[23.1.2021 | 13:17:27][Rycesz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/802512320345145374/Silence_wench_extended.mp4] 

[23.1.2021 | 23:26:33] [Chmielewski002]: https://cdn.discordapp.com/attachments/772558195902119956/801790423751327754/1611171624741.png 

[23.1.2021 | 23:29:42] [Chmielewski002]: || https://cdn.discordapp.com/attachments/605806585364873217/779294289808195584/videoplayback_1.mp4 || 

[23.1.2021 | 23:29:48] [Chmielewski002]: Przekleństwa uwaga 

[23.1.2021 | 23:45:6] [Chmielewski002]: https://cdn.discordapp.com/attachments/772558195902119956/795403667292946472/video-1607427037.mp4 

[26.1.2021 | 9:22:40] [Sverige AKA Damian.]: /meme 

[26.1.2021 | 11:20:51][Rycesz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803570138258997248/szkieletorposting_20210126_004621_0.jpg] 

[26.1.2021 | 21:39:40][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803725871243460658/hmmmmm-43334348.png] 

[26.1.2021 | 21:39:48] [Szop Pracz]: gdzie ja sie znalazłem?! 

[26.1.2021 | 21:39:58][NoOne]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803725946929545246/611321529245892618.png] 

[26.1.2021 | 21:43:18] [🐬 Bluenade_]: Belle Delphine! 

[26.1.2021 | 21:43:40] [Szop Pracz]: tak a to wyrzej to ping ping 

[26.1.2021 | 21:43:57] [🐬 Bluenade_]: wyżej* 

[26.1.2021 | 21:43:58][NoOne]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803726950601850890/no-horny-dog-meme-pointing-finger-to-doge-and-blame-3e648fc2b855a69d0ac6ca1362d475b5.jpg] 

[26.1.2021 | 21:44:20][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803727047322763304/Screenshot_20200730-2229402.png] 

[26.1.2021 | 21:44:30][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803727087500394568/Screenshot_20200814_215243_com.discord.jpg] 

[26.1.2021 | 21:44:48][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803727164075540571/4068220.png] 

[26.1.2021 | 21:45:19][Szop Pracz]: takie miałem profilowe przez jakiś czas XDDDDDDDDDDDD [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803727295146622976/94e25e739187ea5d0adb735bd530a117.png] 

[26.1.2021 | 21:47:58][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803727959059595264/download.png] 

[26.1.2021 | 21:48:7][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803727996145500210/0faa545f84614b807c2d67d95373797d.0.mp4] 

[26.1.2021 | 21:49:12][Rycesz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803728268783386634/FB_IMG_1611594771935.jpg] 

[26.1.2021 | 21:49:58][Rycesz]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/803728461696729108/FB_IMG_1611527029879.jpg] 

[28.1.2021 | 10:31:21][NoOne]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/804282467749068800/badabum.mp4] 

[28.1.2021 | 10:31:45] [NoOne]: :3 

[28.1.2021 | 10:33:13] [Invejosa]: Wystraszyłeś mnie... 

[28.1.2021 | 10:36:17] [NoOne]: Przepraszam🥺 

[28.1.2021 | 10:36:29] [Invejosa]: Wybaczam 

[28.1.2021 | 10:37:2] [Invejosa]: Obejrzałam to w momencie, kiedy jeszcze właściwie spałam, wiesz co to znaczy? 

[28.1.2021 | 10:37:18] [Invejosa]: Mogłam tam na zawał paść 

[28.1.2021 | 10:37:29] [NoOne]: 🥺 

[28.1.2021 | 10:37:36] [Invejosa]: Ale Tobie wybaczam 

[28.1.2021 | 10:38:1] [NoOne]: Dziękuję🥺 

[28.1.2021 | 10:38:11] [Invejosa]: Tobie zawsze wybaczę 

[28.1.2021 | 10:38:24] [NoOne]: 😊 

[28.1.2021 | 10:43:3] [Invejosa]: Panda 

[28.1.2021 | 10:44:14] [NoOne]: Panda :3 

[28.1.2021 | 10:45:33] [Invejosa]: Panduś? 

[28.1.2021 | 10:47:48] [NoOne]: Yyy 

[28.1.2021 | 10:48:0] [Invejosa]: "Zdrobnienie" 

[28.1.2021 | 10:49:15] [Invejosa]: Będziesz Panduś, dobrze? 

[28.1.2021 | 10:49:59] [NoOne]: Ale dlaczego <:PandaDisgust:778777930267885579> 

[28.1.2021 | 10:50:26] [Invejosa]: Jesteś wtedy słodszy 

[28.1.2021 | 10:51:6] [NoOne]: Najpierw bym musiał zacząć być w ogóle 

[28.1.2021 | 10:51:56] [Invejosa]: A nie jesteś? 

[28.1.2021 | 10:52:6] [NoOne]: A jestem? 

[28.1.2021 | 10:52:42] [Invejosa]: Tak 

[28.1.2021 | 10:53:6] [NoOne]: <:memeconfusedcat:799393620557430794> 

[28.1.2021 | 10:53:19] [Invejosa]: Panduś 

[28.1.2021 | 10:54:4] [NoOne]: <:PandaZez:784400603585183764> 

[28.1.2021 | 10:54:37] [NoOne]: Potwór 

[28.1.2021 | 10:54:41] [Invejosa]: Ja? 

[28.1.2021 | 10:54:59] [NoOne]: Ja 

[28.1.2021 | 10:55:3] [Invejosa]: Ja 

[28.1.2021 | 10:55:5] [NoOne]: Nie Ty 

[28.1.2021 | 10:55:8] [Szop Pracz]: UwU słitaśne 

[28.1.2021 | 10:55:23] [Invejosa]: On mnie tym wystraszył! 

[28.1.2021 | 10:55:36] [Szop Pracz]: Nie smutaj 

[28.1.2021 | 10:55:38] [NoOne]: <a:CH_WumpusSadCry:733979947068293230> 

[28.1.2021 | 10:55:39] [Invejosa]: Ja jeszcze spałam, na jedno oko patrzyłam 

[28.1.2021 | 10:55:43] [Szop Pracz]: :< 

[28.1.2021 | 10:55:58] [Invejosa]: Strachliwa jestem 

[28.1.2021 | 10:56:8] [NoOne]: Przepraszam :( 

