[26.1.2021 | 10:40:25] [Shibe]: /propozycje Czy to moze dzialac 

[26.1.2021 | 10:40:58] [Shibe]: #clear 

[26.1.2021 | 12:37:0] [Shibe]: /propozycja działa 

[28.1.2021 | 11:5:4] [Shibe]: ?help 

[28.1.2021 | 11:29:23] [Shibe]: ?rr setup 

[28.1.2021 | 11:29:55] [Shibe]: <#801028236887719948> 

[28.1.2021 | 11:30:5] [Shibe]: ?rr setup 

[28.1.2021 | 11:30:10] [Shibe]: <#801028236887719948> 

[28.1.2021 | 11:30:29] [Shibe]: Jeżeli przeczytałeś regulamin naciśnij ✅ 

[28.1.2021 | 11:30:37] [Shibe]: #F05838 

[28.1.2021 | 11:30:47] [Shibe]: ✅ <@&801028235701256259> 

[28.1.2021 | 11:30:49] [Shibe]: Done 

[28.1.2021 | 12:23:54] [Shibe]: 🧱 - Roblox ⛏️ - Minecraft 🔫 - CS  🦙 - Fortnite 

[28.1.2021 | 12:23:59] [Shibe]: ?rr setup 

[28.1.2021 | 12:24:11] [Shibe]: <#802118455754752040> 

[28.1.2021 | 12:24:21] [Shibe]: Gry: 🧱 - Roblox ⛏️ - Minecraft 🔫 - CS  🦙 - Fortnite 

[28.1.2021 | 12:24:27] [Shibe]: #F01539 

[28.1.2021 | 12:24:36] [Shibe]: 🧱  <@&801028235672289330> 

[28.1.2021 | 12:24:48] [Shibe]: ⛏️  <@&801028235655643155> 

[28.1.2021 | 12:24:56] [Shibe]: 🔫  <@&801028235655643154> 

[28.1.2021 | 12:25:3] [Shibe]: 🦙  <@&801028235655643152> 

[28.1.2021 | 12:25:6] [Shibe]: Done 

[28.1.2021 | 12:25:46] [Shibe]: /role 

[28.1.2021 | 12:25:55] [Shibe]: /free-role 

[28.1.2021 | 12:28:18] [Shibe]: Kategorie: 🔮- Odznaki 🎮- Gry 😹-4FUN 🏠 - Województwo 😀-Moje cechy  📢-Powiadomienia 

[28.1.2021 | 12:28:24] [Shibe]: ?rr setup 

[28.1.2021 | 12:28:31] [Shibe]: <#802118455754752040> 

[28.1.2021 | 12:28:37] [Shibe]: Kategorie: 🔮- Odznaki 🎮- Gry 😹-4FUN 🏠 - Województwo 😀-Moje cechy  📢-Powiadomienia 

[28.1.2021 | 12:28:43] [Shibe]: #F01739 

[28.1.2021 | 12:28:52] [Shibe]: 🔮 <@&801028235672289338> 

[28.1.2021 | 12:29:1] [Shibe]: 🎮 <@&801028235672289331> 

[28.1.2021 | 12:29:7] [Shibe]: 😹 <@&801028235655643151> 

[28.1.2021 | 12:29:19] [Shibe]: 🏠  <@&801028235633623048> 

[28.1.2021 | 12:29:27] [Shibe]: 😀 <@&801028235621564457> 

[28.1.2021 | 12:29:35] [Shibe]: 📢 <@&801028235370299400> 

[28.1.2021 | 12:29:37] [Shibe]: Done 

