[27.1.2021 | 9:41:14] [Shibe]: !rank 

[27.1.2021 | 9:42:48] [Truskawa5]: fajnie 

[27.1.2021 | 9:46:36] [Kuba Izydorczyk]: !rank 

[27.1.2021 | 10:14:42] [Kuba Izydorczyk]: !rank 

[27.1.2021 | 10:32:29] [Truskawa5]: xD 

[27.1.2021 | 10:32:33] [Truskawa5]: szybko 

[27.1.2021 | 10:39:28] [Shibe]: !rank 

[27.1.2021 | 10:42:23] [Truskawa5]: !rank 

[27.1.2021 | 10:42:29] [Truskawa5]: fajnie' 

[27.1.2021 | 11:41:47] [Shibe]: !rank 

[27.1.2021 | 12:46:17] [Truskawa5]: !xp 

[27.1.2021 | 12:51:3] [Kuba Izydorczyk]: !rank 

[28.1.2021 | 11:20:52] [Kuba Izydorczyk]: !rank 

[28.1.2021 | 11:41:57] [Shibe]: !rank 

