[7.1.2021 | 16:51:32] [Shibe]: Muzyka 

[8.1.2021 | 16:49:37] [👻Emka👻]: głośnik 

[10.1.2021 | 12:56:0] [St3fan_K]: fale radiowe 

[10.1.2021 | 13:29:31] [Pikczel]: 5G 

[10.1.2021 | 14:34:36] [St3fan_K]: czpeczki z foli aluminiowej 

[10.1.2021 | 14:48:21] [FiczetoX]: Foliarze 

[10.1.2021 | 20:44:45] [Pikczel]: Bezdomny 

[13.1.2021 | 16:57:12] [Asasin22]: Papież 

[13.1.2021 | 16:57:45] [Agatka007]: Kościół 

[14.1.2021 | 15:52:3] [KASIA_XD]: Ślub XD 

[14.1.2021 | 18:44:56] [Asasin22]: Ksiądz 

[15.1.2021 | 16:36:36] [Asasin22]: Organy 

[15.1.2021 | 22:8:32] [Sverige AKA Damian.]: Muzyka 

[22.1.2021 | 17:33:59] [emcia]: Nuty 

[23.1.2021 | 21:9:32] [( ˘ ³˘)♥]: yt 

[23.1.2021 | 21:32:33] [--Szymiś--]: Nolif 

[26.1.2021 | 10:31:51] [..nath]: Gil 

[26.1.2021 | 19:31:36] [😔 Fox 😔]: ptak 

[26.1.2021 | 20:14:6] [Diablo2609]: niebo 

[26.1.2021 | 21:49:51] [Szop Pracz]: mój kolega z szpitala ( teraz tam jest ) 

[26.1.2021 | 21:50:12] [NoOne]: Strata 

[26.1.2021 | 21:51:30] [Szop Pracz]: uzależnienie 

[27.1.2021 | 0:16:37] [Diablo2609]: Domestos 

[27.1.2021 | 9:15:12] [Szop Pracz]: Kompanie sie chmelowskiego 

[27.1.2021 | 9:28:56] [Sverige AKA Damian.]: smród 

[27.1.2021 | 9:46:10] [Szop Pracz]: \ 

[27.1.2021 | 9:59:47] [Sverige AKA Damian.]: sprzątanie 

[27.1.2021 | 10:51:52] [Diablo2609]: Nuda 

[27.1.2021 | 10:52:19] [🐬 Bluenade_]: zabójstwo 

[27.1.2021 | 10:52:44] [Diablo2609]: Morderca 

[27.1.2021 | 10:58:42] [🐬 Bluenade_]: adolf hitler 

[27.1.2021 | 12:11:55] [Diablo2609]: WWII 

