[27.1.2021 | 9:16:54] [Truskawa5]: 101 

[27.1.2021 | 9:23:57] [Kuba Izydorczyk]: 102 

[27.1.2021 | 9:24:5] [Truskawa5]: 103 

[27.1.2021 | 9:25:52] [Kuba Izydorczyk]: 104 

[27.1.2021 | 9:25:58] [Truskawa5]: 105 

[27.1.2021 | 9:26:30] [Kuba Izydorczyk]: 106 

[27.1.2021 | 9:26:42] [Truskawa5]: 107 

[27.1.2021 | 9:26:48] [Kuba Izydorczyk]: 108 

[27.1.2021 | 9:26:51] [Truskawa5]: 109 

[27.1.2021 | 9:26:55] [Kuba Izydorczyk]: 110 

[27.1.2021 | 9:27:1] [Truskawa5]: 111 xDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDddddd 

[27.1.2021 | 9:27:5] [_____]: 112 

[27.1.2021 | 9:27:13] [Kuba Izydorczyk]: 113 

[27.1.2021 | 9:27:16] [Truskawa5]: 114 

[27.1.2021 | 9:27:18] [_____]: 115 

[27.1.2021 | 9:27:23] [Kuba Izydorczyk]: 116 

[27.1.2021 | 9:27:51] [Truskawa5]: (ej a wiecie że moje wypracowanie o powstanu miejsca ma 222 słów xD 

[27.1.2021 | 9:27:58] [Truskawa5]: 117 

[27.1.2021 | 9:28:6] [Kuba Izydorczyk]: 118 

[27.1.2021 | 9:28:22] [Kuba Izydorczyk]: to na liczbę 222 napisz: moje wypracowanie 

[27.1.2021 | 9:28:59] [Truskawa5]: 119(musimy tam dojść) 

[27.1.2021 | 9:29:3] [Kuba Izydorczyk]: 120 

[27.1.2021 | 9:29:8] [Kuba Izydorczyk]: robimy to ludzie 

[27.1.2021 | 9:29:12] [Truskawa5]: 121 

[27.1.2021 | 9:29:15] [Kuba Izydorczyk]: 122 

[27.1.2021 | 9:29:15] [Truskawa5]: 122 

[27.1.2021 | 9:29:19] [Truskawa5]: xd 

[27.1.2021 | 9:29:23] [Kuba Izydorczyk]: 124 

[27.1.2021 | 9:29:29] [Kuba Izydorczyk]: edytuj 

[27.1.2021 | 9:29:30] [Truskawa5]: 125 

[27.1.2021 | 9:29:34] [Kuba Izydorczyk]: 126 

[27.1.2021 | 9:29:34] [_____]: 126 

[27.1.2021 | 9:29:40] [Truskawa5]: 127 

[27.1.2021 | 9:29:47] [_____]: 128 

[27.1.2021 | 9:29:48] [Truskawa5]: 129 

[27.1.2021 | 9:29:50] [Kuba Izydorczyk]: 130 

[27.1.2021 | 9:29:52] [Truskawa5]: 131 

[27.1.2021 | 9:29:54] [_____]: 132 

[27.1.2021 | 9:29:55] [Truskawa5]: 133 

[27.1.2021 | 9:29:57] [_____]: 134 

[27.1.2021 | 9:29:57] [Kuba Izydorczyk]: 134 

[27.1.2021 | 9:29:59] [Truskawa5]: 135 

[27.1.2021 | 9:30:5] [Kuba Izydorczyk]: 136 

[27.1.2021 | 9:30:6] [_____]: 137 

[27.1.2021 | 9:30:7] [Truskawa5]: 138 

[27.1.2021 | 9:30:11] [Kuba Izydorczyk]: 139 

[27.1.2021 | 9:30:13] [Truskawa5]: 140 

[27.1.2021 | 9:30:16] [_____]: 141 

[27.1.2021 | 9:30:17] [Kuba Izydorczyk]: 142 

[27.1.2021 | 9:30:20] [_____]: 143 

[27.1.2021 | 9:30:23] [Kuba Izydorczyk]: 144 

[27.1.2021 | 9:30:27] [_____]: 145 

[27.1.2021 | 9:30:32] [Kuba Izydorczyk]: 146 

[27.1.2021 | 9:30:42] [Truskawa5]: (oznaczcie mnie jak dojdziecie bo mi się nie chcę pisać 

[27.1.2021 | 9:30:49] [Kuba Izydorczyk]: ok 

[27.1.2021 | 9:30:52] [Kuba Izydorczyk]: 147 

[27.1.2021 | 9:30:56] [_____]: 148 

[27.1.2021 | 9:30:59] [_____]: 149 

[27.1.2021 | 9:30:59] [Kuba Izydorczyk]: 149 

[27.1.2021 | 9:31:3] [_____]: 150 

[27.1.2021 | 9:31:11] [Kuba Izydorczyk]: 151 

[27.1.2021 | 9:31:13] [_____]: 152 

[27.1.2021 | 9:31:16] [Kuba Izydorczyk]: 153 

[27.1.2021 | 9:31:18] [_____]: 154 

[27.1.2021 | 9:31:21] [Kuba Izydorczyk]: 155 

[27.1.2021 | 9:31:23] [_____]: 156 

[27.1.2021 | 9:31:25] [Kuba Izydorczyk]: 157 

[27.1.2021 | 9:31:27] [_____]: 158 

[27.1.2021 | 9:31:30] [Kuba Izydorczyk]: 159 

[27.1.2021 | 9:31:33] [_____]: 160 

[27.1.2021 | 9:31:37] [Kuba Izydorczyk]: 161 

[27.1.2021 | 9:31:41] [_____]: 162 

[27.1.2021 | 9:31:44] [Kuba Izydorczyk]: 163 

[27.1.2021 | 9:31:47] [_____]: 164 

[27.1.2021 | 9:31:50] [Kuba Izydorczyk]: 165 

[27.1.2021 | 9:31:52] [_____]: 166 

[27.1.2021 | 9:31:55] [Kuba Izydorczyk]: 167 

[27.1.2021 | 9:31:56] [_____]: 168 

[27.1.2021 | 9:32:0] [Kuba Izydorczyk]: 169 

[27.1.2021 | 9:32:3] [_____]: 170 

[27.1.2021 | 9:32:4] [Kuba Izydorczyk]: 171 

[27.1.2021 | 9:32:7] [_____]: 172 

[27.1.2021 | 9:32:8] [Kuba Izydorczyk]: 173 

[27.1.2021 | 9:32:10] [_____]: 174 

[27.1.2021 | 9:32:11] [Kuba Izydorczyk]: 175 

[27.1.2021 | 9:32:13] [_____]: 176 

[27.1.2021 | 9:32:14] [Kuba Izydorczyk]: 177 

[27.1.2021 | 9:32:17] [_____]: 178 

[27.1.2021 | 9:32:18] [Kuba Izydorczyk]: 19 

[27.1.2021 | 9:32:25] [_____]: 180 

[27.1.2021 | 9:32:29] [Kuba Izydorczyk]: 181 

[27.1.2021 | 9:32:31] [_____]: 182 

[27.1.2021 | 9:32:32] [Kuba Izydorczyk]: 183 

[27.1.2021 | 9:32:39] [_____]: 184 

[27.1.2021 | 9:32:40] [Kuba Izydorczyk]: 185 

[27.1.2021 | 9:32:45] [_____]: 186 

[27.1.2021 | 9:32:46] [Kuba Izydorczyk]: 186 

[27.1.2021 | 9:32:58] [_____]: 188 

[27.1.2021 | 9:33:9] [Kuba Izydorczyk]: 189 

[27.1.2021 | 9:33:18] [_____]: 190 

[27.1.2021 | 9:33:21] [Kuba Izydorczyk]: 191 

[27.1.2021 | 9:33:24] [_____]: 192 

[27.1.2021 | 9:33:25] [Kuba Izydorczyk]: 193 

[27.1.2021 | 9:33:27] [_____]: 194 

[27.1.2021 | 9:33:29] [Kuba Izydorczyk]: 195 

[27.1.2021 | 9:33:30] [_____]: 196 

[27.1.2021 | 9:34:4] [Kuba Izydorczyk]: 197 

[27.1.2021 | 9:34:8] [_____]: 198 

[27.1.2021 | 9:34:14] [Kuba Izydorczyk]: 199 

[27.1.2021 | 9:34:24] [Truskawa5]: 200 

[27.1.2021 | 9:34:34] [_____]: Pog 

[27.1.2021 | 9:34:38] [_____]: 2011 

[27.1.2021 | 9:34:44] [Kuba Izydorczyk]: 202 

[27.1.2021 | 9:34:48] [_____]: 203 

[27.1.2021 | 9:34:50] [Kuba Izydorczyk]: 204 

[27.1.2021 | 9:34:52] [_____]: 205 

[27.1.2021 | 9:34:55] [Kuba Izydorczyk]: 206 

[27.1.2021 | 9:34:56] [_____]: 207 

[27.1.2021 | 9:34:58] [Kuba Izydorczyk]: 208 

[27.1.2021 | 9:35:2] [_____]: 209 

[27.1.2021 | 9:35:3] [Kuba Izydorczyk]: 210 

[27.1.2021 | 9:35:5] [_____]: 211 

[27.1.2021 | 9:35:7] [Kuba Izydorczyk]: 212 

[27.1.2021 | 9:35:11] [_____]: 213 

[27.1.2021 | 9:35:12] [Kuba Izydorczyk]: 214 

[27.1.2021 | 9:35:29] [Kuba Izydorczyk]: 216 

[27.1.2021 | 9:36:25] [Kuba Izydorczyk]: <@!689853240002740338> musimy kontynuować 

[27.1.2021 | 9:36:37] [Truskawa5]: 215 

[27.1.2021 | 9:36:48] [Kuba Izydorczyk]: 216 

[27.1.2021 | 9:37:18] [Truskawa5]: 217 

[27.1.2021 | 9:37:21] [Kuba Izydorczyk]: 218 

[27.1.2021 | 9:37:27] [Truskawa5]: 219 

[27.1.2021 | 9:37:30] [Kuba Izydorczyk]: 220 

[27.1.2021 | 9:37:34] [Kuba Izydorczyk]: 221 

[27.1.2021 | 9:37:36] [Shibe]: 222 

[27.1.2021 | 9:37:44] [Truskawa5]: ejjjjjjjjjjjjjjjjjjjjjjj 

[27.1.2021 | 9:38:5] [Truskawa5]: 222: moje wypracowanie uuuuuuuuuuuuuuuuuuuu 

[27.1.2021 | 9:38:5] [Kuba Izydorczyk]: <@!689853240002740338> pisz wiesz co 

[27.1.2021 | 9:38:18] [Kuba Izydorczyk]: 223 

[27.1.2021 | 9:48:29] [banio]: 224 

[27.1.2021 | 9:49:59] [_____]: 225 

[27.1.2021 | 9:51:7] [Kuba Izydorczyk]: 226 

[27.1.2021 | 9:51:21] [_____]: 227 

[27.1.2021 | 9:51:39] [Kuba Izydorczyk]: 228 

[28.1.2021 | 10:36:24] [Borys_Adamczyk]: 241 

[28.1.2021 | 10:50:42] [Kuba Izydorczyk]: 242 

[28.1.2021 | 10:51:56] [Truskawa5]: 243 

[28.1.2021 | 10:52:0] [Kuba Izydorczyk]: 244 

[28.1.2021 | 10:52:7] [Truskawa5]: 245 

[28.1.2021 | 10:52:16] [Kuba Izydorczyk]: 246 

[28.1.2021 | 10:53:11] [Truskawa5]: 247 

[28.1.2021 | 10:53:49] [Kuba Izydorczyk]: 248 

[28.1.2021 | 10:54:9] [Truskawa5]: 249 

[28.1.2021 | 10:54:18] [Kuba Izydorczyk]: 250! 

[28.1.2021 | 10:54:46] [Truskawa5]: 251 

[28.1.2021 | 10:55:45] [Kuba Izydorczyk]: 252 

[28.1.2021 | 10:55:58] [Truskawa5]: 253 

[28.1.2021 | 10:56:6] [Kuba Izydorczyk]: 254 

[28.1.2021 | 10:56:13] [Truskawa5]: 255 

[28.1.2021 | 10:57:43] [Kuba Izydorczyk]: 256 

[28.1.2021 | 10:59:1] [Truskawa5]: 257 

[28.1.2021 | 10:59:25] [Kuba Izydorczyk]: 258 

[28.1.2021 | 10:59:28] [Kuba Izydorczyk]: m 

